FOR CLOSURE OF,SOURCE FILE,TAX ID,RECEIPT NUMBER,WORKER ID,PERIOD OF PROVISION,TAX ID - RECEIPT NUMBER,RECEIPT AMOUNT,REQUESTED AMOUNT,PROVISION CODE,WORKER ID - PERIOD OF PROVISION -  PROVISION CODE,WORKER ID - PERIOD OF PROVISION -  RECEIPT AMOUNT,SECOND PROVISION CODE,SECOND WORKER ID NUMBER,THIRD PROVISION CODE,SECOND PERIOD OF PROVISION,WORKER ID - PERIOD OF PROVISION -  RECEIPT NUMBER,WORKER ID -  RECEIPT NUMBER,RECEIPT PREFIX,RECEIPT TYPE,EMISSION TYPE,AUTHORIZATION CODE,RECEIPT EMISSION DATE,CBU 1,CBU 2
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,85666861858,654,79343939179,201610,85666861858-654,"2316,08","2316,08",90,79343939179-201610-90,"79343939179-201610-2316,08",90,47716185675,90,201610,47716185675-201610-654,47716185675-654,0001,05,I,42519082785942,21/12/2016,856882461,79275864990100
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,82494015443,1100,50131324905,201610,82494015443-1100,"7781,4","7781,4",91,50131324905-201610-91,"50131324905-201610-7781,4",91,47489701329,91,201610,47489701329-201610-1100,47489701329-1100,0003,03,E,66514883531514,20/12/2016,356803467,20330616461518
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,93061711056,1093,88872472337,201609,93061711056-1093,"3474,12","3474,12",86,88872472337-201609-86,"88872472337-201609-3474,12",86,59735909053,86,201609,59735909053-201609-1093,59735909053-1093,0003,03,E,66514882927352,20/12/2016,942154977,67450392947669
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,98230403512,91,53393198154,201609,98230403512-91,"2895,12","2895,12",90,53393198154-201609-90,"53393198154-201609-2895,12",90,92118838310,90,201609,92118838310-201609-91,92118838310-91,0001,05,I,42377071592717,22/12/2016,727046090,97215824753570
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,67381995914,89,25197959685,201610,67381995914-89,"3257,04","3257,04",90,25197959685-201610-90,"25197959685-201610-3257,04",90,87666808148,90,201610,87666808148-201610-89,87666808148-89,0001,05,I,42377071592717,22/12/2016,231095729,71853137417505
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,52714866637,362,91894409913,201610,52714866637-362,"1250,68","1250,68",91,91894409913-201610-91,"91894409913-201610-1250,68",91,32396922480,91,201610,32396922480-201610-362,32396922480-362,0001,05,I,42364071085794,15/12/2016,622246592,81192007235611
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,29858101870,52,10540638391,201610,29858101870-52,"4342,68","4342,68",86,10540638391-201610-86,"10540638391-201610-4342,68",86,98392211279,86,201610,98392211279-201610-52,98392211279-52,0004,03,I,42519082980501,22/12/2016,986597992,31075729766758
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,21596876702,340,84402750765,201610,21596876702-340,"2895,12","2895,12",90,84402750765-201610-90,"84402750765-201610-2895,12",90,99641707643,90,201610,99641707643-201610-340,99641707643-340,0002,03,E,66517806029134,15/12/2016,512213514,77704359808676
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,52045524174,214,60718119786,201610,52045524174-214,"2895,12","2895,12",90,60718119786-201610-90,"60718119786-201610-2895,12",90,21919296743,90,201610,21919296743-201610-214,21919296743-214,0002,03,E,66505803964001,15/12/2016,190735214,35686726535726
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,60864832546,363,80179170274,201609,60864832546-363,"2501,36","2501,36",90,80179170274-201609-90,"80179170274-201609-2501,36",90,87028118286,90,201609,87028118286-201609-363,87028118286-363,0001,05,I,42364071085794,15/12/2016,704542861,35407085627401
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,38647432406,786,30601391697,201609,38647432406-786,"3439,37","3439,37",90,30601391697-201609-90,"30601391697-201609-3439,37",90,11051792397,90,201609,11051792397-201609-786,11051792397-786,0002,05,I,42456078421239,10/12/2016,63255454,10207389516745
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,60564743899,797,73952293856,201610,60564743899-797,"3752,04","3752,04",90,73952293856-201610-90,"73952293856-201610-3752,04",90,75210476353,90,201610,75210476353-201610-797,75210476353-797,0002,05,I,42456078421239,10/12/2016,963027424,55718309906813
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,58043671043,369,39559570339,201610,58043671043-369,"2501,6","2501,36",90,39559570339-201610-90,"39559570339-201610-2501,6",90,21085351719,90,201610,21085351719-201610-369,21085351719-369,0001,05,I,42364071085794,15/12/2016,92669849,49663260164996
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,97200681692,797,31878765166,201610,97200681692-797,"3752,04","3752,04",90,31878765166-201610-90,"31878765166-201610-3752,04",90,29295082440,90,201610,29295082440-201610-797,29295082440-797,0002,05,I,42456078421239,10/12/2016,860025260,77834973852751
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,98125416564,1352,52563170651,201610,98125416564-1352,"4885,56","4885,56",86,52563170651-201610-86,"52563170651-201610-4885,56",86,66627752733,86,201610,66627752733-201610-1352,66627752733-1352,0003,03,E,66510855508994,19/12/2016,801811574,15451500575773
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,21542036588,134,93369940052,201610,21542036588-134,"7237,8","7237,8",86,93369940052-201610-86,"93369940052-201610-7237,8",86,49439809215,86,201610,49439809215-201610-134,49439809215-134,0001,05,I,42114051513433,09/11/2016,217477470,46186403204646
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,14735535261,193,18497015626,201609,14735535261-193,"2316,08","2316,08",90,18497015626-201609-90,"18497015626-201609-2316,08",90,47871985206,90,201609,47871985206-201609-193,47871985206-193,0001,05,I,42396073429994,28/12/2016,811069624,43670962415953
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,91636743140,197,47558552232,201610,91636743140-197,"2316,08","2316,08",90,47558552232-201610-90,"47558552232-201610-2316,08",90,24296216441,90,201610,24296216441-201610-197,24296216441-197,0001,05,I,42396073429994,28/12/2016,761836075,22015007833378
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,92421449962,68,42520221617,201610,92421449962-68,"4342,68","4342,68",86,42520221617-201610-86,"42520221617-201610-4342,68",86,80605229925,86,201610,80605229925-201610-68,80605229925-68,0001,05,I,42408073921947,21/12/2016,675292419,30721564218942
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,84563445651,326,71150007079,201609,84563445651-326,"3257,04","3257,04",86,71150007079-201609-86,"71150007079-201609-3257,04",86,96569218492,86,201609,96569218492-201609-326,96569218492-326,0002,05,I,42364070406808,22/12/2016,864410528,83564091826714
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,17954371029,327,71824141609,201610,17954371029-327,"3257,04","3257,04",86,71824141609-201610-86,"71824141609-201610-3257,04",86,42930666459,86,201610,42930666459-201610-327,42930666459-327,0002,05,I,42364070406808,22/12/2016,878778219,20276419422892
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,81499691077,104,72789434269,201610,81499691077-104,"5790,2","5790,2",91,72789434269-201610-91,"72789434269-201610-5790,2",91,79175002678,91,201610,79175002678-201610-104,79175002678-104,0002,05,I,42465079037134,21/12/2016,563405255,45626257836290
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,89447355656,453,74358333151,201610,89447355656-453,"3474,12","3474,12",90,74358333151-201610-90,"74358333151-201610-3474,12",90,34777785761,90,201610,34777785761-201610-453,34777785761-453,0001,05,I,42325067622200,22/12/2016,400211877,64705465942621
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,29594039932,259,43122034680,201610,29594039932-259,"3474,12","3474,12",90,43122034680-201610-90,"43122034680-201610-3474,12",90,88761333920,90,201610,88761333920-201610-259,88761333920-259,0001,05,I,42267062713594,01/01/2017,738013972,58268174318059
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,31361967289,454,63654188208,201610,31361967289-454,"3474,12","3474,12",90,63654188208-201610-90,"63654188208-201610-3474,12",90,31602938086,90,201610,31602938086-201610-454,31602938086-454,0001,05,I,42325067622200,22/12/2016,625977332,84880202460504
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,27870579984,256,56080848330,201610,27870579984-256,"3474,12","3474,12",90,56080848330-201610-90,"56080848330-201610-3474,12",90,47053443662,90,201610,47053443662-201610-256,47053443662-256,0001,05,I,42267062713594,01/01/2016,44635310,72111204212707
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,14332829969,788,83066970688,201609,14332829969-788,"7191,43","7191,43",87,83066970688-201609-87,"83066970688-201609-7191,43",87,91713383775,87,201609,91713383775-201609-788,91713383775-788,0002,05,I,42456078421239,10/12/2016,260300093,49869093514874
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,68833787872,226,16159304904,201609,68833787872-226,"4342,68","4342,68",90,16159304904-201609-90,"16159304904-201609-4342,68",90,14847574995,90,201609,14847574995-201609-226,14847574995-226,0001,05,I,42404073793994,10/10/2016,799830490,38232055042187
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,79821047245,229,93026801016,201610,79821047245-229,"4342,68","4342,68",90,93026801016-201610-90,"93026801016-201610-4342,68",90,43020323729,90,201610,43020323729-201610-229,43020323729-229,0001,05,I,42404073793994,04/11/2016,630196480,22352155294345
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,99855304812,48,65479167347,201610,99855304812-48,"3257,04","3257,04",91,65479167347-201610-91,"65479167347-201610-3257,04",91,45143278448,91,201610,45143278448-201610-48,45143278448-48,0001,03,E,66513915415911,21/12/2016,333770225,30578170950588
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,32046967168,432,71341212990,201610,32046967168-432,"1945,5","1945,5",86,71341212990-201610-86,"71341212990-201610-1945,5",86,93029911554,86,201610,93029911554-201610-432,93029911554-432,0001,05,I,42440077655899,20/12/2016,917492280,84306973697708
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,39993812485,432,49216258472,201610,39993812485-432,"1945,5","1945,5",86,49216258472-201610-86,"49216258472-201610-1945,5",86,31441462235,86,201610,31441462235-201610-432,31441462235-432,0001,05,I,42440077655899,20/12/2016,489303743,57701079828089
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,42522744237,409,70485965542,201610,42522744237-409,"5428,4","5428,4",91,70485965542-201610-91,"70485965542-201610-5428,4",91,38963589191,91,201610,38963589191-201610-409,38963589191-409,0001,03,I,42404074122700,09/01/2017,461204514,78469391718170
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,86212456824,66,35672619305,201610,86212456824-66,"7237,8","7237,8",86,35672619305-201610-86,"35672619305-201610-7237,8",86,61600723906,86,201610,61600723906-201610-66,61600723906-66,0001,05,I,42408073921947,21/12/2016,478579263,74934955369713
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,37533859547,362,36072919087,201610,37533859547-362,"5790,24","5790,24",90,36072919087-201610-90,"36072919087-201610-5790,24",90,29163613179,90,201610,29163613179-201610-362,29163613179-362,0001,05,I,42493081071648,16/12/2016,37556379,24728770121126
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,84509578077,40,29165799562,201610,84509578077-40,"5790,24","5790,24",90,29165799562-201610-90,"29165799562-201610-5790,24",90,62708951098,90,201610,62708951098-201610-40,62708951098-40,0002,05,E,66514852937546,19/12/2016,347477491,33131525695593
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,42991078592,213,76366197075,201610,42991078592-213,"2895,12","2895,12",90,76366197075-201610-90,"76366197075-201610-2895,12",90,43646277108,90,201610,43646277108-201610-213,43646277108-213,0002,03,E,66505803914056,15/12/2016,139738446,92614820394793
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,84168017825,245,77531749913,201610,84168017825-245,"3910,32","3910,32",90,77531749913-201610-90,"77531749913-201610-3910,32",90,65465874326,90,201610,65465874326-201610-245,65465874326-245,0002,03,E,66511814357970,16/12/2016,384578963,82356488462371
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,38731178550,413,15559072934,201610,38731178550-413,3891,3891,91,15559072934-201610-91,15559072934-201610-3891,91,49729894394,91,201610,49729894394-201610-413,49729894394-413,0001,05,I,42247061549865,20/12/2016,352377520,94661555342932
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,88962778962,342,37901636760,201610,88962778962-342,"2895,12","2895,12",90,37901636760-201610-90,"37901636760-201610-2895,12",90,68766753032,90,201610,68766753032-201610-342,68766753032-342,0002,03,E,66517806124827,15/12/2016,240531121,99113491398369
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,50283597146,785,90408832031,201609,50283597146-785,"3439,37","3439,37",91,90408832031-201609-91,"90408832031-201609-3439,37",91,77159562521,91,201609,77159562521-201609-785,77159562521-785,0002,05,I,42456078421239,10/12/2016,720383338,14141316000500
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,75959169747,792,12414834317,201610,75959169747-792,"3126,7","3126,7",91,12414834317-201610-91,"12414834317-201610-3126,7",91,44115760207,91,201610,44115760207-201610-792,44115760207-792,0002,05,I,42456078421239,10/12/2016,75545742,40652275541762
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,37694250745,477,85296249356,201610,37694250745-477,"4342,68","4342,68",90,85296249356-201610-90,"85296249356-201610-4342,68",90,77804410508,90,201610,77804410508-201610-477,77804410508-477,0001,05,I,42180057258882,02/01/2017,796492737,80551254055243
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,57602849595,956,51477452243,201610,57602849595-956,"6552,38","6552,38",85,51477452243-201610-85,"51477452243-201610-6552,38",85,11673853468,85,201610,11673853468-201610-956,11673853468-956,0008,03,E,66515850249239,19/12/2016,800332775,55607039599814
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,10717052500,263,69527592179,201610,10717052500-263,"3474,12","3474,12",86,69527592179-201610-86,"69527592179-201610-3474,12",86,34700373480,86,201610,34700373480-201610-263,34700373480-263,0001,05,I,42267062713594,01/01/2017,866211516,58566364894289
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,84674902002,231,84280528533,201609,84674902002-231,"4342,68","4342,68",90,84280528533-201609-90,"84280528533-201609-4342,68",90,93060480121,90,201609,93060480121-201609-231,93060480121-231,0001,05,I,42404073793994,03/10/2016,82538088,73874737972453
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,57714095576,230,10083687224,201610,57714095576-230,"4342,68","4342,68",90,10083687224-201610-90,"10083687224-201610-4342,68",90,48493417155,90,201610,48493417155-201610-230,48493417155-230,0001,05,I,42404073793994,04/11/2016,371983244,49862699220189
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,38790703128,796,81673836361,201610,38790703128-796,"5002,72","5002,72",91,81673836361-201610-91,"81673836361-201610-5002,72",91,82287954753,91,201610,82287954753-201610-796,82287954753-796,0002,05,I,42456078421239,10/12/2016,618126607,81462600097369
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,82269345825,361,95552350118,201610,82269345825-361,"2501,36","2501,36",90,95552350118-201610-90,"95552350118-201610-2501,36",90,60901896057,90,201610,60901896057-201610-361,60901896057-361,0001,05,I,42364071085794,15/12/2016,136021786,61334309800708
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,92299027494,366,63675468858,201610,92299027494-366,"2501,36","2501,36",90,63675468858-201610-90,"63675468858-201610-2501,36",90,13624700715,90,201610,13624700715-201610-366,13624700715-366,0001,05,I,42364071085794,15/12/2016,622051958,25597462831086
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,39796428631,192,32823459946,201609,39796428631-192,"3474,12","3474,12",90,32823459946-201609-90,"32823459946-201609-3474,12",90,52015854085,90,201609,52015854085-201609-192,52015854085-192,0001,05,I,42396073429994,28/12/2016,473282954,89506238662759
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,18431358458,198,35315537321,201610,18431358458-198,"3474,12","3474,12",90,35315537321-201610-90,"35315537321-201610-3474,12",90,70877824466,90,201610,70877824466-201610-198,70877824466-198,0001,05,I,42396073429994,28/12/2016,584843949,78190794944483
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,14443664159,319,97602250412,201610,14443664159-319,"2501,36","2501,36",91,97602250412-201610-91,"97602250412-201610-2501,36",91,83595396547,91,201610,83595396547-201610-319,83595396547-319,0002,05,I,42339068269765,15/12/2016,424189353,16268107431134
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,64511530249,90,89002363415,201609,64511530249-90,"2895,12","2895,12",90,89002363415-201609-90,"89002363415-201609-2895,12",90,65082229393,90,201609,65082229393-201609-90,65082229393-90,0001,05,I,42377071592717,22/12/2016,751774734,29692791179906
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,30159664828,88,25884736613,201610,30159664828-88,"3257,04","3257,04",90,25884736613-201610-90,"25884736613-201610-3257,04",90,84185628282,90,201610,84185628282-201610-88,84185628282-88,0001,05,I,42377071592717,22/12/2016,971850438,39959838008992
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,14166769198,157,59559612473,201610,14166769198-157,"3474,12","3474,12",86,59559612473-201610-86,"59559612473-201610-3474,12",86,31889301176,86,201610,31889301176-201610-157,31889301176-157,0003,05,I,42490081040568,20/12/2016,531242336,23694511128540
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,14828034622,452,14374173999,201610,14828034622-452,"3474,51","3474,51",90,14374173999-201610-90,"14374173999-201610-3474,51",90,14154553121,90,201610,14154553121-201610-452,14154553121-452,0001,05,I,42325067622200,22/12/2016,18244695,53029709742615
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,38767150105,476,12124574230,201610,38767150105-476,"2895,12","2895,12",90,12124574230-201610-90,"12124574230-201610-2895,12",90,29149202856,90,201610,29149202856-201610-476,29149202856-476,0001,05,I,42180057258882,02/01/2017,23681961,39151009825603
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,71513445541,350,59190159134,201610,71513445541-350,"2316,08","2316,08",86,59190159134-201610-86,"59190159134-201610-2316,08",86,72661141019,86,201610,72661141019-201610-350,72661141019-350,0001,05,I,42313066831112,15/12/2016,899977509,80309169631532
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,43785953100,509,35700931452,201610,43785953100-509,"3257,04","3257,04",86,35700931452-201610-86,"35700931452-201610-3257,04",86,12905201382,86,201610,12905201382-201610-509,12905201382-509,0002,05,E,66512929168244,22/12/2016,334094409,13766850249715
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,59843263740,377,60079717651,201610,59843263740-377,"6015,7","6015,7",96,60079717651-201610-96,"60079717651-201610-6015,7",96,62208212470,96,201610,62208212470-201610-377,62208212470-377,0001,05,I,42282064532823,21/12/2016,70344053,92918027726644
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,94445419722,91,17326050021,201609,94445419722-91,"5428,4","5428,4",90,17326050021-201609-90,"17326050021-201609-5428,4",90,36391896916,90,201609,36391896916-201609-91,36391896916-91,0001,05,I,42385072351454,23/12/2016,328938739,94508857147055
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,94795244095,92,20285874497,201610,94795244095-92,"5428,4","5428,4",90,20285874497-201610-90,"20285874497-201610-5428,4",90,15620044328,90,201610,15620044328-201610-92,15620044328-92,0001,05,I,42385072351454,23/12/2016,443271714,22094158551216
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,11632626081,56,29218127511,201610,11632626081-56,"8323,41","8323,41",87,29218127511-201610-87,"29218127511-201610-8323,41",87,95501901682,87,201610,95501901682-201610-56,95501901682-56,0001,06,I,42478079493311,20/12/2016,356639127,84439402636508
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,71244528011,14,54023722747,201610,71244528011-14,"4342,72","4342,72",90,54023722747-201610-90,"54023722747-201610-4342,72",90,40954829383,90,201610,40954829383-201610-14,40954829383-14,0001,05,I,42517083058264,27/12/2016,825777574,15155631801909
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,46454311858,93,14920827979,201610,46454311858-93,"6514,08","6514,08",90,14920827979-201610-90,"14920827979-201610-6514,08",90,96067993983,90,201610,96067993983-201610-93,96067993983-93,0001,05,I,42354069624470,03/01/2017,587220914,64792927076637
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,94771116238,1,45572763483,201610,94771116238-1,341606,"4981,66",96,45572763483-201610-96,45572763483-201610-341606,96,50620764967,96,201610,50620764967-201610-1,50620764967-1,0002,03,E,66509783672237,15/12/2016,712550863,95329019882312
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,30001871768,398,61349827202,201611,30001871768-398,"15123,15","15123,15",7,61349827202-201611-7,"61349827202-201611-15123,15",7,62362727010,7,201611,62362727010-201611-398,62362727010-398,0002,03,E,66498664610333,07/12/2016,944021333,57811120454354
201705,21JUN_INTEGRATION_BOREAL_OSSIMRA_SHIPMENT__21JUN2017,71826616647,343,77889531308,201610,71826616647-343,"2895,12","2895,12",90,77889531308-201610-90,"77889531308-201610-2895,12",90,65571552787,90,201610,65571552787-201610-343,65571552787-343,0002,03,E,66517806179979,15/12/2016,244579829,96450154617088
