Date,third-party name,Taxed,VAT tax,VAT Non-Registered Responsible Parties tax,exempt,amount,Invoice Type,Branch,Invoice Number,TaxIdNr
2023-02-04 00:00:00,AMARANTO COPAS RESTAUTb5TE SAS,13574.66,1425.34,0,0,15000,FCV B,10,6156,92-7221896-3
2023-02-04 00:00:00,AMARANTO COPAS RESTAUTb5TE SAS,16922.1,2517.9,0,0,19440,FCV B,10,6157,92-7221896-3
2023-02-04 00:00:00,BOSCO hcdSA,1613.81,276.19,0,0,1890,FCV B,10,6158,34-1970379-0
2023-02-04 00:00:00,MOqARDI JH SA,13644.07,1515.93,0,0,15160,FCV B,10,6159,80-8454541-3
2023-02-04 00:00:00,LUCERO 4xlSA,13574.66,1425.34,0,0,15000,FCV B,10,6160,21-5681444-0
2023-02-04 00:00:00,BULACICt0MA SA,8144.8,855.2,0,0,9000,FCV B,10,6161,41-9180006-7
2023-02-04 00:00:00,LUCERO 4xlSA,9049.77,950.23,0,0,10000,FCV B,10,6162,21-5681444-0
2023-02-04 00:00:00,k2WLTIERI AA SA,1752.07,367.93,0,0,2120,FCV B,10,6163,41-0277025-0
2023-02-04 00:00:00,k2WLTIERI AA SA,13574.66,1425.34,0,0,15000,FCV B,10,6164,41-0277025-0
2023-02-04 00:00:00,FXUpGROPECUARIA S.R.L,20506.79,2153.21,0,0,22660,FCV B,10,6165,10-4505974-2
2023-02-04 00:00:00,k2WLTIERI AA SA,3259.94,580.06,0,0,3840,FCV B,10,6166,41-0277025-0
2023-02-04 00:00:00,k2WLTIERI AA SA,4302.76,757.24,0,0,5060,FCV B,10,6167,41-0277025-0
2023-02-04 00:00:00,AST AGRCgRA,2479.33,520.67,0,0,3000,FCV B,10,6168,26-1024650-0
2023-02-04 00:00:00,principxEwH SA,45686.88,4797.12,0,0,50484,FCV B,10,6169,18-1742915-0
2023-02-04 00:00:00,MOvwoGUT LM SA,45686.88,4797.12,0,0,50484,FCV B,10,6170,81-5399050-4
2023-02-04 00:00:00,LUCERO 4xlSA,45686.88,4797.12,0,0,50484,FCV B,10,6171,21-5681444-0
2023-02-04 00:00:00,LUCERO 4xlSA,45686.88,4797.12,0,0,50484,FCV B,10,6172,21-5681444-0
2023-02-04 00:00:00,k2WLTIERI AA SA,45686.88,4797.12,0,0,50484,FCV B,10,6173,41-0277025-0
2023-02-04 00:00:00,ARSEBC0SA,-48444.65,-10173.38,0,0,-58618.03,NCV A,3,326,91-6576195-1
2023-02-04 00:00:00,FERIALVARJ5qS.R.L,-686273,-144117.33,0,0,-830390.33,NCV A,5,46,65-6680030-5
2023-02-05 00:00:00,FERIALVARJ5qS.R.L,9627.94,1522.06,0,0,11150,FCV B,10,6174,65-6680030-5
2023-02-05 00:00:00,CORNEWlJDG SA,6349.21,770.79,0,0,7120,FCV B,10,6175,86-6141473-3
2023-02-05 00:00:00,CUE9QO SA,13574.66,1425.34,0,0,15000,FCV B,10,6176,34-6514742-1
2023-02-05 00:00:00,DOs5 MAX S.A,13574.66,1425.34,0,0,15000,FCV B,10,6177,40-3539751-3
2023-02-05 00:00:00,ESCyD4RO LO SA,13574.66,1425.34,0,0,15000,FCV B,10,6178,74-3145115-6
2023-02-05 00:00:00,I7oPEZ LE SA,43824.43,4601.57,0,0,48426,FCV B,10,6179,59-5091437-9
2023-02-06 00:00:00,IRUSTA CA1Op,690251.5,144952.81,0,0,835204.31,FCV A,5,462,99-2597197-9
2023-02-06 00:00:00,LOURENCO PoSSA,1813.59,236.41,0,0,2050,FCV A,10,48,40-0077484-2
2023-02-06 00:00:00,MAXIVAzeFA,13574.66,1425.34,0,0,15000,FCV B,10,6180,92-2713087-6
2023-02-06 00:00:00,ROMERO EAmnA,13574.66,1425.34,0,0,15000,FCV B,10,6181,13-4228245-7
2023-02-06 00:00:00,SOSXrPE SA,24793.39,5206.61,0,0,30000,FCV B,10,6182,92-7054720-9
2023-02-06 00:00:00,TORLH4YI JD SA,396.69,83.31,0,0,480,FCV B,10,6183,13-6311285-5
2023-02-06 00:00:00,TRANSABR0JzSA,13574.66,1425.34,0,0,15000,FCV B,10,6184,94-3685218-1
2023-02-06 00:00:00,FRIGORIFICOPeARONEL MOLDES S.A,27149.32,2850.68,0,0,30000,FCV B,10,6185,85-9204859-0
2023-02-06 00:00:00,CHIgfzO GR SA,13574.66,1425.34,0,0,15000,FCV B,10,6186,75-5434505-1
2023-02-06 00:00:00,FRIGO-SdreSA,297.52,62.48,0,0,360,FCV B,10,6187,80-2256924-2
2023-02-06 00:00:00,IRUSTA AtNN,41322.31,8677.69,0,0,50000,FCV B,10,6188,86-0953731-9
2023-02-06 00:00:00,LUCERO 4xlSA,42958.68,9021.32,0,0,51980,FCV B,10,6189,21-5681444-0
2023-02-06 00:00:00,ATANrZTS.C.A,42966.94,9023.06,0,0,51990,FCV B,10,6190,43-7563060-7
2023-02-06 00:00:00,VETERIYUrIA SUR SRL,42958.68,9021.32,0,0,51980,FCV B,10,6191,39-0194148-5
2023-02-07 00:00:00,NICOLA AGROKgY,1607564.57,323291.83,0,0,1930856.4,FCV A,3,1951,66-2052200-5
2023-02-07 00:00:00,BARLASI7ADSN SA,476935.42,100156.44,0,0,577091.86,FCV A,5,463,17-4281286-2
2023-02-07 00:00:00,NICOLA AGROKgY,3187.17,372.83,0,0,3560,FCV B,10,6192,66-2052200-5
2023-02-07 00:00:00,BULACICt0MA SA,289.26,60.74,0,0,350,FCV B,10,6193,41-9180006-7
2023-02-07 00:00:00,MOvwoGUT LM SA,13574.66,1425.34,0,0,15000,FCV B,10,6194,81-5399050-4
2023-02-07 00:00:00,INSUMOS Y ACOPIOS DEL SURHZXA.,13574.66,1425.34,0,0,15000,FCV B,10,6195,41-6142131-6
2023-02-07 00:00:00,INSUMOS Y ACOPIOS DEL SURHZXA.,3451.02,528.98,0,0,3980,FCV B,10,6196,41-6142131-6
2023-02-07 00:00:00,INSUMOS Y ACOPIOS DEL SURHZXA.,24793.39,5206.61,0,0,30000,FCV B,10,6197,41-6142131-6
2023-02-07 00:00:00,MILESBGe SA,16528.93,3471.07,0,0,20000,FCV B,10,6198,37-5643146-4
2023-02-07 00:00:00,MILESBGe SA,13574.66,1425.34,0,0,15000,FCV B,10,6199,37-5643146-4
2023-02-07 00:00:00,MOqARDI JH SA,13574.66,1425.34,0,0,15000,FCV B,10,6200,80-8454541-3
2023-02-07 00:00:00,ISNARDI TbbA,12396.69,2603.31,0,0,15000,FCV B,10,6201,77-2113032-4
2023-02-07 00:00:00,MOqARDI JH SA,0,0,0,0,0,FCV B,10,6202,80-8454541-3
2023-02-07 00:00:00,ISNARDI TbbA,18099.55,1900.45,0,0,20000,FCV B,10,6203,77-2113032-4
2023-02-07 00:00:00,m9UFA JR SA,24793.39,5206.61,0,0,30000,FCV B,10,6204,62-3702542-9
2023-02-07 00:00:00,PGv0A MANSA F.I.A,1057.85,222.15,0,0,1280,FCV B,10,6205,34-2780957-5
2023-02-07 00:00:00,LNJ2 PULMARI SAS,27149.32,2850.68,0,0,30000,FCV B,10,6206,92-9173556-5
2023-02-07 00:00:00,SIBONA RjN9A,30082.64,6317.36,0,0,36400,FCV B,10,6207,27-6238670-1
2023-02-07 00:00:00,SIBONA RjN9A,-393348.8,-82603.25,0,0,-475952.05,NCV A,3,327,27-6238670-1
2023-02-08 00:00:00,VckRALES DE ALEJANDRO S.A,214347.12,43281.63,0,0,257628.75,FCV A,3,1952,76-1221128-7
2023-02-08 00:00:00,UNISURCO2LjA,312708,65668.68,0,0,378376.68,FCV A,5,464,43-7017947-4
2023-02-08 00:00:00,SIBONA RjN9A,1719.01,360.99,0,0,2080,FCV B,10,6208,27-6238670-1
2023-02-08 00:00:00,UNISURCO2LjA,3041.33,638.67,0,0,3680,FCV B,10,6209,43-7017947-4
2023-02-08 00:00:00,SIBONA RjN9A,13574.66,1425.34,0,0,15000,FCV B,10,6210,27-6238670-1
2023-02-08 00:00:00,S8bLAN MB SA,24793.39,5206.61,0,0,30000,FCV B,10,6211,95-2319656-4
2023-02-08 00:00:00,JULIAN ABC8j,13574.66,1425.34,0,0,15000,FCV B,10,6212,84-7546277-3
2023-02-08 00:00:00,PECqLuCH GIT SA,2760.33,579.67,0,0,3340,FCV B,10,6213,54-2225978-0
2023-02-08 00:00:00,PECqLuCH GIT SA,6747.73,782.27,0,0,7530,FCV B,10,6214,54-2225978-0
2023-02-08 00:00:00,FURLAN VHdhL,1792.38,257.62,0,0,2050,FCV B,10,6215,45-7658949-5
2023-02-08 00:00:00,CxcpMATORI HR SA,33057.85,6942.15,0,0,40000,FCV B,10,6216,45-0878971-5
2023-02-08 00:00:00,ANGELLnpDM SA,4216.11,493.89,0,0,4710,FCV B,10,6217,15-2740618-0
2023-02-08 00:00:00,k2WLTIERI AA SA,13574.66,1425.34,0,0,15000,FCV B,10,6218,41-0277025-0
2023-02-08 00:00:00,PIERvDv SR SA,13574.66,1425.34,0,0,15000,FCV B,10,6219,79-5550858-7
2023-02-08 00:00:00,DALMASSO AheBA,24793.39,5206.61,0,0,30000,FCV B,10,6220,41-7924126-1
2023-02-08 00:00:00,SAN MIGUEL 5B2 RIO S.A,31880.17,6694.83,0,0,38575,FCV B,10,6222,61-6477777-4
2023-02-08 00:00:00,FURLAN VHdhL,31880.17,6694.83,0,0,38575,FCV B,10,6223,45-7658949-5
2023-02-09 00:00:00,ANGELLnpDM SA,2657482.42,516448.58,0,0,3173931,FCV A,3,1953,15-2740618-0
2023-02-09 00:00:00,k2WLTIERI AA SA,1758187.17,277787.25,0,0,2035974.42,FCV A,3,1954,41-0277025-0
2023-02-09 00:00:00,DALMoVjO AO  SA,1590753.24,334058.17,0,0,1924811.4,FCV A,5,465,42-0587739-1
2023-02-09 00:00:00,BARLASI7ADSN SA,472862.08,99301.03,0,0,572163.12,FCV A,5,466,17-4281286-2
2023-02-09 00:00:00,ARSEBC0SA,13574.66,1425.34,0,0,15000,FCV B,10,6224,91-6576195-1
2023-02-09 00:00:00,LUCERO 4xlSA,13574.66,1425.34,0,0,15000,FCV B,10,6225,21-5681444-0
2023-02-09 00:00:00,AMARANTO COPAS RESTAUTb5TE SAS,24793.39,5206.61,0,0,30000,FCV B,10,6226,92-7221896-3
2023-02-09 00:00:00,AMARANTO COPAS RESTAUTb5TE SAS,16528.93,3471.07,0,0,20000,FCV B,10,6227,92-7221896-3
2023-02-09 00:00:00,BOSCO hcdSA,2404.94,505.06,0,0,2910,FCV B,10,6228,34-1970379-0
2023-02-09 00:00:00,MOqARDI JH SA,13896.98,1493.02,0,0,15390,FCV B,10,6229,80-8454541-3
2023-02-09 00:00:00,LUCERO 4xlSA,13574.66,1425.34,0,0,15000,FCV B,10,6230,21-5681444-0
2023-02-09 00:00:00,BULACICt0MA SA,24793.39,5206.61,0,0,30000,FCV B,10,6231,41-9180006-7
2023-02-09 00:00:00,LUCERO 4xlSA,5661.16,1188.84,0,0,6850,FCV B,10,6232,21-5681444-0
2023-02-09 00:00:00,k2WLTIERI AA SA,7718.48,1131.52,0,0,8850,FCV B,10,6233,41-0277025-0
2023-02-09 00:00:00,k2WLTIERI AA SA,11023.33,1326.67,0,0,12350,FCV B,10,6234,41-0277025-0
2023-02-09 00:00:00,FXUpGROPECUARIA S.R.L,20856.2,4379.8,0,0,25236,FCV B,10,6235,10-4505974-2
2023-02-09 00:00:00,k2WLTIERI AA SA,20856.2,4379.8,0,0,25236,FCV B,10,6236,41-0277025-0
2023-02-09 00:00:00,k2WLTIERI AA SA,11552.98,2426.13,0,0,13979.11,NDDCA,3,863,41-0277025-0
2023-02-10 00:00:00,AST AGRCgRA,73801.48,15498.31,0,0,89299.79,FCV A,3,1955,26-1024650-0
2023-02-10 00:00:00,principxEwH SA,136000.16,28560.03,0,0,164560.19,FCV A,3,1956,18-1742915-0
2023-02-10 00:00:00,MOvwoGUT LM SA,377091.34,79189.18,0,0,456280.52,FCV A,3,1957,81-5399050-4
2023-02-10 00:00:00,LUCERO 4xlSA,116693.84,24505.71,0,0,141199.55,FCV A,3,1958,21-5681444-0
2023-02-10 00:00:00,LUCERO 4xlSA,213035.21,44737.39,0,0,257772.6,FCV A,3,1959,21-5681444-0
2023-02-10 00:00:00,k2WLTIERI AA SA,2095163.21,439984.26,0,0,2535147.47,FCV A,3,1960,41-0277025-0
2023-02-10 00:00:00,ARSEBC0SA,116693.84,24505.71,0,0,141199.55,FCV A,5,467,91-6576195-1
2023-02-10 00:00:00,FERIALVARJ5qS.R.L,396759.06,83319.4,0,0,480078.46,FCV A,5,468,65-6680030-5
2023-02-10 00:00:00,FERIALVARJ5qS.R.L,826.45,173.55,0,0,1000,FCV B,10,6237,65-6680030-5
2023-02-10 00:00:00,CORNEWlJDG SA,8678.73,911.27,0,0,9590,FCV B,10,6238,86-6141473-3
2023-02-10 00:00:00,CUE9QO SA,13574.66,1425.34,0,0,15000,FCV B,10,6239,34-6514742-1
2023-02-10 00:00:00,DOs5 MAX S.A,13574.66,1425.34,0,0,15000,FCV B,10,6240,40-3539751-3
2023-02-10 00:00:00,ESCyD4RO LO SA,24793.39,5206.61,0,0,30000,FCV B,10,6241,74-3145115-6
2023-02-10 00:00:00,I7oPEZ LE SA,16528.93,3471.07,0,0,20000,FCV B,10,6242,59-5091437-9
2023-02-10 00:00:00,IRUSTA CA1Op,2611.31,408.69,0,0,3020,FCV B,10,6243,99-2597197-9
2023-02-10 00:00:00,LOURENCO PoSSA,13574.66,1425.34,0,0,15000,FCV B,10,6244,40-0077484-2
2023-02-10 00:00:00,MAXIVAzeFA,13574.66,1425.34,0,0,15000,FCV B,10,6245,92-2713087-6
2023-02-10 00:00:00,ROMERO EAmnA,24793.39,5206.61,0,0,30000,FCV B,10,6246,13-4228245-7
2023-02-10 00:00:00,SOSXrPE SA,16528.93,3471.07,0,0,20000,FCV B,10,6247,92-7054720-9
2023-02-10 00:00:00,TORLH4YI JD SA,5247.93,1102.07,0,0,6350,FCV B,10,6248,13-6311285-5
2023-02-10 00:00:00,TRANSABR0JzSA,64958.68,13641.32,0,0,78600,FCV B,10,6249,94-3685218-1
2023-02-10 00:00:00,FRIGORIFICOPeARONEL MOLDES S.A,-116693.84,-24505.71,0,0,-141199.55,NCV A,3,328,85-9204859-0
2023-02-11 00:00:00,CHIgfzO GR SA,3504.01,675.99,0,0,4180,FCV B,10,6250,75-5434505-1
2023-02-11 00:00:00,FRIGO-SdreSA,1112.41,157.59,0,0,1270,FCV B,10,6251,80-2256924-2
2023-02-11 00:00:00,IRUSTA AtNN,1965.82,234.18,0,0,2200,FCV B,10,6252,86-0953731-9
2023-02-11 00:00:00,LUCERO 4xlSA,4272.73,897.27,0,0,5170,FCV B,10,6253,21-5681444-0
2023-02-11 00:00:00,ATANrZTS.C.A,13574.66,1425.34,0,0,15000,FCV B,10,6254,43-7563060-7
2023-02-11 00:00:00,VETERIYUrIA SUR SRL,13574.66,1425.34,0,0,15000,FCV B,10,6255,39-0194148-5
2023-02-11 00:00:00,NICOLA AGROKgY,24793.39,5206.61,0,0,30000,FCV B,10,6256,66-2052200-5
2023-02-11 00:00:00,BARLASI7ADSN SA,4048.95,721.05,0,0,4770,FCV B,10,6257,17-4281286-2
2023-02-11 00:00:00,NICOLA AGROKgY,24793.39,5206.61,0,0,30000,FCV B,10,6258,66-2052200-5
2023-02-11 00:00:00,BULACICt0MA SA,10727.27,2252.73,0,0,12980,FCV B,10,6259,41-9180006-7
2023-02-11 00:00:00,MOvwoGUT LM SA,14066.12,2953.88,0,0,17020,FCV B,10,6260,81-5399050-4
2023-02-11 00:00:00,INSUMOS Y ACOPIOS DEL SURHZXA.,834.71,175.29,0,0,1010,FCV B,10,6261,41-6142131-6
2023-02-11 00:00:00,INSUMOS Y ACOPIOS DEL SURHZXA.,13574.66,1425.34,0,0,15000,FCV B,10,6262,41-6142131-6
2023-02-11 00:00:00,INSUMOS Y ACOPIOS DEL SURHZXA.,13574.66,1425.34,0,0,15000,FCV B,10,6263,41-6142131-6
2023-02-11 00:00:00,MILESBGe SA,72743.8,15276.2,0,0,88020,FCV B,10,6264,37-5643146-4
2023-02-11 00:00:00,MILESBGe SA,72748.76,15277.24,0,0,88026,FCV B,10,6265,37-5643146-4
2023-02-11 00:00:00,MOqARDI JH SA,72743.8,15276.2,0,0,88020,FCV B,10,6266,80-8454541-3
2023-02-12 00:00:00,ISNARDI TbbA,1000.01,209.99,0,0,1210,FCV B,10,6267,77-2113032-4
2023-02-12 00:00:00,MOqARDI JH SA,3529.41,370.59,0,0,3900,FCV B,10,6268,80-8454541-3
2023-02-12 00:00:00,ISNARDI TbbA,41322.31,8677.69,0,0,50000,FCV B,10,6269,77-2113032-4
2023-02-12 00:00:00,m9UFA JR SA,13574.66,1425.34,0,0,15000,FCV B,10,6270,62-3702542-9
2023-02-12 00:00:00,PGv0A MANSA F.I.A,13574.66,1425.34,0,0,15000,FCV B,10,6271,34-2780957-5
2023-02-12 00:00:00,LNJ2 PULMARI SAS,60886.78,12786.22,0,0,73673,FCV B,10,6272,92-9173556-5
2023-02-12 00:00:00,SIBONA RjN9A,60886.78,12786.22,0,0,73673,FCV B,10,6273,27-6238670-1
2023-02-12 00:00:00,SIBONA RjN9A,60886.78,12786.22,0,0,73673,FCV B,10,6274,27-6238670-1
2023-02-13 00:00:00,VckRALES DE ALEJANDRO S.A,294182.74,61778.37,0,0,355961.11,FCV A,3,1961,76-1221128-7
2023-02-13 00:00:00,UNISURCO2LjA,17248.5,3622.18,0,0,20870.68,FCV A,3,1962,43-7017947-4
2023-02-13 00:00:00,SIBONA RjN9A,739194.02,155230.74,0,0,894424.76,FCV A,3,1963,27-6238670-1
2023-02-13 00:00:00,UNISURCO2LjA,286325.08,60128.27,0,0,346453.35,FCV A,5,469,43-7017947-4
2023-02-13 00:00:00,SIBONA RjN9A,13574.66,1425.34,0,0,15000,FCV B,10,6275,27-6238670-1
2023-02-13 00:00:00,S8bLAN MB SA,13574.66,1425.34,0,0,15000,FCV B,10,6276,95-2319656-4
2023-02-13 00:00:00,JULIAN ABC8j,24793.39,5206.61,0,0,30000,FCV B,10,6277,84-7546277-3
2023-02-13 00:00:00,PECqLuCH GIT SA,16528.93,3471.07,0,0,20000,FCV B,10,6278,54-2225978-0
2023-02-13 00:00:00,PECqLuCH GIT SA,41.32,8.68,0,0,50,FCV B,10,6279,54-2225978-0
2023-02-13 00:00:00,FURLAN VHdhL,13574.66,1425.34,0,0,15000,FCV B,10,6280,45-7658949-5
2023-02-13 00:00:00,CxcpMATORI HR SA,13574.66,1425.34,0,0,15000,FCV B,10,6281,45-0878971-5
2023-02-13 00:00:00,ANGELLnpDM SA,41322.31,8677.69,0,0,50000,FCV B,10,6282,15-2740618-0
2023-02-13 00:00:00,k2WLTIERI AA SA,1072.7,167.3,0,0,1240,FCV B,10,6283,41-0277025-0
2023-02-13 00:00:00,PIERvDv SR SA,32398.19,3401.81,0,0,35800,FCV B,10,6284,79-5550858-7
2023-02-13 00:00:00,DALMASSO AheBA,4190.08,879.92,0,0,5070,FCV B,10,6285,41-7924126-1
2023-02-13 00:00:00,SAN MIGUEL 5B2 RIO S.A,24793.39,5206.61,0,0,30000,FCV B,10,6286,61-6477777-4
2023-02-13 00:00:00,FURLAN VHdhL,60157.03,12632.97,0,0,72790,FCV B,10,6287,45-7658949-5
2023-02-14 00:00:00,ANGELLnpDM SA,199315.99,25073.57,0,0,224389.56,FCV A,3,1964,15-2740618-0
2023-02-14 00:00:00,k2WLTIERI AA SA,341903.59,71799.75,0,0,413703.34,FCV A,3,1965,41-0277025-0
2023-02-14 00:00:00,DALMoVjO AO  SA,808360.51,166375,0,0,974735.5,FCV A,3,1966,42-0587739-1
2023-02-14 00:00:00,BARLASI7ADSN SA,259877.39,54574.25,0,0,314451.64,FCV A,3,1967,17-4281286-2
2023-02-14 00:00:00,ARSEBC0SA,526500.86,110565.18,0,0,637066.04,FCV A,3,1968,91-6576195-1
2023-02-14 00:00:00,LUCERO 4xlSA,96016.65,20163.5,0,0,116180.14,FCV A,3,1969,21-5681444-0
2023-02-14 00:00:00,AMARANTO COPAS RESTAUTb5TE SAS,48295.8,10142.12,0,0,58437.92,FCV A,3,1970,92-7221896-3
2023-02-14 00:00:00,AMARANTO COPAS RESTAUTb5TE SAS,243012.19,51032.56,0,0,294044.75,FCV A,5,470,92-7221896-3
2023-02-14 00:00:00,BOSCO hcdSA,159069.49,33404.59,0,0,192474.08,FCV A,5,471,34-1970379-0
2023-02-14 00:00:00,MOqARDI JH SA,183121.57,38455.53,0,0,221577.09,FCV A,5,472,80-8454541-3
2023-02-14 00:00:00,LUCERO 4xlSA,197399.49,41453.89,0,0,238853.38,FCV A,5,473,21-5681444-0
2023-02-14 00:00:00,BULACICt0MA SA,41396.4,8693.24,0,0,50089.64,FCV A,5,474,41-9180006-7
2023-02-14 00:00:00,LUCERO 4xlSA,24793.39,5206.61,0,0,30000,FCV B,10,6288,21-5681444-0
2023-02-14 00:00:00,k2WLTIERI AA SA,16528.93,3471.07,0,0,20000,FCV B,10,6289,41-0277025-0
2023-02-14 00:00:00,k2WLTIERI AA SA,13574.66,1425.34,0,0,15000,FCV B,10,6290,41-0277025-0
2023-02-14 00:00:00,FXUpGROPECUARIA S.R.L,13574.66,1425.34,0,0,15000,FCV B,10,6291,10-4505974-2
2023-02-14 00:00:00,k2WLTIERI AA SA,24793.39,5206.61,0,0,30000,FCV B,10,6292,41-0277025-0
2023-02-14 00:00:00,k2WLTIERI AA SA,16528.93,3471.07,0,0,20000,FCV B,10,6293,41-0277025-0
2023-02-14 00:00:00,AST AGRCgRA,13574.66,1425.34,0,0,15000,FCV B,10,6294,26-1024650-0
2023-02-14 00:00:00,principxEwH SA,13574.66,1425.34,0,0,15000,FCV B,10,6295,18-1742915-0
2023-02-14 00:00:00,MOvwoGUT LM SA,545.45,114.55,0,0,660,FCV B,10,6296,81-5399050-4
2023-02-14 00:00:00,LUCERO 4xlSA,2206.6,463.4,0,0,2670,FCV B,10,6297,21-5681444-0
2023-02-14 00:00:00,LUCERO 4xlSA,18099.55,1900.45,0,0,20000,FCV B,10,6298,21-5681444-0
2023-02-14 00:00:00,k2WLTIERI AA SA,20958.68,4401.32,0,0,25360,FCV B,10,6299,41-0277025-0
