Item,Occupation,Name,Trituration Train,Description,Daily Salary,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Total Hours,Weekly Pay
Salary,ASSISTANT,Name 8,Trituration Train 2,Night Shift,$250.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$2,000.00"
Overtime,ASSISTANT,Name 8,Trituration Train 2,Night Shift,$50.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$1,100.00"
Salary,Excavator 336,Name 9,Trituration Train 1,Day Shift,$666.67,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$5,333.33"
Overtime,Excavator 336,Name 9,Trituration Train 1,Day Shift,$100.00,2.00,2.00,2.00,6.00,3.00,2.00,2.00,19.00,"$1,900.00"
Salary,Primary 120,Name 10,Trituration Train 1,Day Shift,$500.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$4,000.00"
Overtime,Primary 120,Name 10,Trituration Train 1,Day Shift,$100.00,2.00,2.00,2.00,6.00,2.00,2.00,2.00,18.00,"$1,800.00"
Salary,Cone operator,Name 11,Trituration Train 1,Day Shift,$333.34,1.00,1.00,1.00,0.00,1.00,2.00,1.00,7.00,"$2,333.38"
Overtime,Cone operator,Name 11,Trituration Train 1,Day Shift,$100.00,2.00,2.00,2.00,0.00,6.00,2.00,2.00,16.00,"$1,600.00"
Salary,ASSISTANT,Name 12,Trituration Train 1,Day Shift,$250.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,5.00,"$1,250.00"
Overtime,ASSISTANT,Name 12,Trituration Train 1,Day Shift,$50.00,2.00,2.00,2.00,6.00,6.00,0.00,0.00,18.00,$900.00
Salary,966h charger,Name 13,Trituration Train 1,Day Shift,$666.67,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$5,333.36"
Overtime,966h charger,Name 13,Trituration Train 1,Day Shift,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,950h charger,Name 14,Trituration Train 2,Day Shift,$666.67,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$5,333.36"
Overtime,950h charger,Name 14,Trituration Train 2,Day Shift,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,Primary 110,Name 15,Trituration Train 2,Day Shift,$250.00,1.00,1.00,1.00,0.00,1.00,2.00,1.00,7.00,"$1,750.00"
Overtime,Primary 110,Name 15,Trituration Train 2,Day Shift,$50.00,2.00,2.00,2.00,0.00,6.00,2.00,2.00,16.00,$800.00
Salary,Cone operator,Name 16,Trituration Train 2,Day Shift,$433.33,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$3,466.64"
Overtime,Cone operator,Name 16,Trituration Train 2,Day Shift,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,ASSISTANT,Name 17,Trituration Train 2,Day Shift,$250.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$2,000.00"
Overtime,ASSISTANT,Name 17,Trituration Train 2,Day Shift,$50.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$1,100.00"
Salary,972g charger,Name 18,Trituration Train 2,Day Shift,$666.67,1.00,2.00,2.00,2.00,1.00,2.00,1.00,11.00,"$7,333.33"
Overtime,972g charger,Name 18,Trituration Train 2,Day Shift,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,WELDER,Name 19,Trituration Train 2,Day Shift,$500.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$4,000.00"
Overtime,WELDER,Name 19,Trituration Train 2,Day Shift,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,Overgrowth,Name 20,,Overseers and day staff,"$1,083.34",1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$8,666.72"
Overtime,Overgrowth,Name 20,,Overseers and day staff,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,TRITURATION Operator,Name 21,,Overseers and day staff,"$1,166.67",2.00,1.00,1.00,1.00,1.00,2.00,1.00,9.00,"$10,500.03"
Overtime,TRITURATION Operator,Name 21,,Overseers and day staff,$100.00,4.00,2.00,2.00,6.00,6.00,2.00,2.00,24.00,"$2,400.00"
Salary,DIESEL,Name 22,,Overseers and day staff,$250.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$2,000.00"
Overtime,DIESEL,Name 22,,Overseers and day staff,$50.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$1,100.00"
Salary,Supervisor,Name 23,,Overseers and day staff,$333.34,1.00,1.00,1.00,1.00,0.00,2.00,1.00,7.00,"$2,333.38"
Overtime,Supervisor,Name 23,,Overseers and day staff,$50.00,2.00,2.00,2.00,6.00,0.00,2.00,2.00,16.00,$800.00
Salary,Excavator 320,Name 24,,Overseers and day staff,$583.33,1.00,1.00,1.00,1.00,1.00,2.00,1.00,8.00,"$4,666.64"
Overtime,Excavator 320,Name 24,,Overseers and day staff,$100.00,2.00,2.00,2.00,6.00,6.00,2.00,2.00,22.00,"$2,200.00"
Salary,Tractor D6,Name 25,,Overseers and day staff,$666.67,1.00,1.00,2.00,1.00,1.00,2.00,1.00,9.00,"$6,000.03"
Overtime,Tractor D6,Name 25,,Overseers and day staff,$100.00,2.00,2.00,4.00,6.00,6.00,2.00,2.00,24.00,"$2,400.00"
Salary,TRITURATION Architect,Name 26,,Overseers and day staff,"$1,333.34",1.00,1.00,1.00,1.00,0.00,1.00,1.00,6.00,"$8,000.04"
Salary,PRODUCTION ENGINEER,Name 27,,Overseers and day staff,"$1,166.67",1.00,1.00,1.00,1.00,0.00,1.00,1.00,6.00,"$7,000.02"
Salary,Administrator,Name 28,,Overseers and day staff,"$1,041.67",1.00,1.00,1.00,1.00,0.00,1.00,1.00,6.00,"$6,250.00"
