day,email,order,qty,gross_sales,discounts,returns,net_sales,shipping,duties,additional_fees,taxes,total_sales
11/09/2019,user113995050@email.com,55477212657,6,10.140.000,0,0,10.140.000,1.940.000,0,0,0,12.080.000
12/09/2019,user15173245@email.com,55477212660,7,11.830.000,0,0,11.830.000,2.030.000,0,0,0,13.860.000
13/09/2019,user93136440@email.com,55477212663,8,13.520.000,-169.000,0,13.351.000,2.420.000,0,0,0,15.771.000
14/09/2019,user74501790@email.com,55477212666,1,1.890.000,0,0,1.890.000,190.000,0,0,0,2.080.000
15/09/2019,user302510785@email.com,55477212669,0,0,0,0,0,0,0,0,0,0
16/09/2019,user125962765@email.com,55477212672,0,0,0,0,0,0,0,0,0,0
17/09/2019,user57588460@email.com,55477212675,9,17.010.000,-189.000,0,16.821.000,1.991.000,0,0,0,18.812.000
18/09/2019,user180594090@email.com,55477212678,2,3.780.000,0,0,3.780.000,398.000,0,0,0,4.178.000
19/09/2019,user340430050@email.com,55477212681,3,5.270.000,0,-53.445.000,-48.175.000,-2.092.000,0,0,0,-50.267.000
20/09/2019,user43497735@email.com,55477212684,7,11.992.000,-299.800,0,11.692.200,2.093.000,0,0,0,13.785.200
21/09/2019,user378935020@email.com,55477212687,12,21.287.000,0,-3.591.000,17.696.000,3.390.000,0,0,0,21.086.000
22/09/2019,user385719465@email.com,55477212690,11,17.079.000,0,0,17.079.000,3.689.000,0,0,123.900,20.891.900
23/09/2019,user11356710@email.com,55477212693,2,2.998.000,0,-1.890.000,1.108.000,399.000,0,0,0,1.507.000
24/09/2019,user15665535@email.com,55477212696,13,19.487.000,-149.900,-13.792.000,5.545.100,1.495.000,0,0,0,7.040.100
25/09/2019,user194376565@email.com,55477212699,13,21.377.000,-159.900,0,21.217.100,4.187.000,0,0,123.900,25.528.000
26/09/2019,user97964200@email.com,55477212702,7,11.193.000,-159.900,-2.998.000,8.035.100,1.595.000,0,0,0,9.630.100
27/09/2019,user3451710@email.com,55477212705,3,4.797.000,-159.900,0,4.637.100,897.000,0,0,0,5.534.100
28/09/2019,user281448695@email.com,55477212708,11,18.179.000,-159.900,0,18.019.100,3.389.000,0,0,0,21.408.100
29/09/2019,user6433705@email.com,55477212711,14,22.976.000,0,0,22.976.000,4.486.000,0,0,0,27.462.000
30/09/2019,user355536925@email.com,55477212714,9,14.391.000,-319.800,-7.995.000,6.076.200,1.396.000,0,0,0,7.472.200
01/10/2019,user239880265@email.com,55477212717,15,23.985.000,-159.900,0,23.825.100,4.585.000,0,0,0,28.410.100
02/10/2019,user53807480@email.com,55477212720,10,15.990.000,0,0,15.990.000,2.990.000,0,0,0,18.980.000
03/10/2019,user211849810@email.com,55477212723,7,11.783.000,0,0,11.783.000,2.193.000,0,0,0,13.976.000
04/10/2019,user42613735@email.com,55477212726,8,12.392.000,0,-5.387.000,7.005.000,1.595.000,0,0,0,8.600.000
05/10/2019,user279142645@email.com,55477212729,10,15.580.000,0,0,15.580.000,3.290.000,0,0,0,18.870.000
06/10/2019,user265982540@email.com,55477212732,20,31.750.000,-314.790,-1.499.000,29.936.210,6.081.000,0,0,0,36.017.210
07/10/2019,user313629005@email.com,55477212735,23,38.076.000,-223.860,0,37.852.140,7.377.000,0,0,0,45.229.140
08/10/2019,user181272190@email.com,55477212738,19,32.721.000,-111.930,-19.068.140,13.540.930,2.393.000,0,0,0,15.933.930
09/10/2019,user339958105@email.com,55477212741,6,9.994.000,0,0,9.994.000,1.794.000,0,0,0,11.788.000
10/10/2019,user256393415@email.com,55477212744,9,13.791.000,-104.930,399.000,14.085.070,2.392.000,0,0,0,16.477.070
11/10/2019,user109399355@email.com,55477212747,8,13.491.000,0,0,13.491.000,2.492.000,0,0,0,15.983.000
12/10/2019,user159739345@email.com,55477212750,12,18.879.000,-223.860,-9.694.000,8.961.140,1.994.000,0,0,0,10.955.140
13/10/2019,user116385290@email.com,55477212753,13,22.976.000,-111.930,0,22.864.070,4.087.000,0,0,0,26.951.070
14/10/2019,user60190410@email.com,55477212756,20,32.131.000,-111.930,299.000,32.318.070,5.981.000,0,0,0,38.299.070
15/10/2019,user86044975@email.com,55477212759,17,27.183.000,-111.930,598.000,27.669.070,4.685.000,0,0,0,32.354.070
16/10/2019,user200137140@email.com,55477212762,9,14.542.000,0,-1.499.000,13.043.000,2.692.000,0,0,0,15.735.000
17/10/2019,user40714510@email.com,55477212765,14,22.386.000,0,-10.884.000,11.502.000,2.392.000,0,0,0,13.894.000
18/10/2019,user181663250@email.com,55477212768,13,22.976.000,-223.860,0,22.752.140,4.187.000,0,0,0,26.939.140
19/10/2019,user271069365@email.com,55477212771,11,18.179.000,0,0,18.179.000,3.589.000,0,0,0,21.768.000
20/10/2019,user219108060@email.com,55477212774,18,31.980.000,0,-7.696.000,24.284.000,3.788.000,0,0,0,28.072.000
21/10/2019,user24784745@email.com,55477212777,13,20.787.000,0,0,20.787.000,4.187.000,0,0,0,24.974.000
22/10/2019,user247186465@email.com,55477212780,9,14.391.000,0,-5.387.000,9.004.000,2.493.000,0,0,0,11.497.000
23/10/2019,user404225455@email.com,55477212783,11,18.179.000,-111.930,0,18.067.070,3.589.000,0,0,0,21.656.070
24/10/2019,user110880435@email.com,55477212786,4,6.396.000,0,-6.396.000,0,-200.000,0,0,0,-200.000
25/10/2019,user325653770@email.com,55477212789,2,3.198.000,-111.930,0,3.086.070,598.000,0,0,0,3.684.070
26/10/2019,user185179160@email.com,55477212792,0,0,0,0,0,0,0,0,0,0
27/10/2019,user279751075@email.com,55477212795,0,0,0,0,0,0,0,0,0,0
28/10/2019,user324779000@email.com,55477212798,0,0,0,-3.198.000,-3.198.000,-698.000,0,0,0,-3.896.000
29/10/2019,user161791520@email.com,55477212801,0,0,0,0,0,0,0,0,0,0
30/10/2019,user38539345@email.com,55477212804,0,0,0,0,0,0,0,0,0,0
31/10/2019,user132898920@email.com,55477212807,0,0,0,0,0,0,0,0,0,0
01/11/2019,user278120100@email.com,55477212810,1,1.650.000,0,0,1.650.000,299.000,0,0,0,1.949.000
02/11/2019,user369407485@email.com,55477212813,0,0,0,0,0,0,0,0,0,0
03/11/2019,user128398080@email.com,55477212816,15,28.782.000,-223.860,299.000,28.857.140,4.386.000,0,0,0,33.243.140
04/11/2019,user275027315@email.com,55477212819,13,25.635.000,0,0,25.635.000,4.287.000,0,0,0,29.922.000
05/11/2019,user381411055@email.com,55477212822,19,30.381.000,-111.930,-1.300.000,28.969.070,5.583.000,0,0,0,34.552.070
06/11/2019,user226343095@email.com,55477212825,11,17.589.000,-111.930,0,17.477.070,3.389.000,0,0,0,20.866.070
07/11/2019,user357060685@email.com,55477212828,21,36.978.000,0,0,36.978.000,6.779.000,0,0,0,43.757.000
08/11/2019,user273634810@email.com,55477212831,21,33.730.000,0,0,33.730.000,6.679.000,0,0,0,40.409.000
09/11/2019,user131167875@email.com,55477212834,19,30.381.000,0,-17.178.070,13.202.930,2.393.000,0,0,0,15.595.930
10/11/2019,user133474490@email.com,55477212837,32,52.767.000,-111.930,0,52.655.070,9.868.000,0,0,0,62.523.070
11/11/2019,user313364365@email.com,55477212840,23,36.777.000,-111.930,-6.396.000,30.269.070,5.881.000,0,0,0,36.150.070
12/11/2019,user185599790@email.com,55477212843,9,14.391.000,0,0,14.391.000,2.791.000,0,0,0,17.182.000
13/11/2019,user59407590@email.com,55477212846,15,23.985.000,0,-17.589.000,6.396.000,1.296.000,0,0,0,7.692.000
14/11/2019,user326053135@email.com,55477212849,14,28.650.000,-125.300,0,28.524.700,4.386.000,0,0,0,32.910.700
15/11/2019,user355240540@email.com,55477212852,18,34.010.000,-125.300,0,33.884.700,5.382.000,0,0,0,39.266.700
16/11/2019,user340981035@email.com,55477212855,25,48.190.000,-125.300,-6.396.000,41.668.700,6.479.000,0,0,0,48.147.700
17/11/2019,user259939705@email.com,55477212858,19,39.000.000,-136.500,-3.198.000,35.665.500,5.483.000,0,0,0,41.148.500
18/11/2019,user84231120@email.com,55477212861,16,33.150.000,-546.000,0,32.604.000,5.284.000,0,0,0,37.888.000
19/11/2019,user117984055@email.com,55477212864,17,33.150.000,-546.000,-5.370.000,27.234.000,4.486.000,0,0,0,31.720.000
20/11/2019,user171634450@email.com,55477212867,7,13.650.000,0,0,13.650.000,2.093.000,0,0,0,15.743.000
21/11/2019,user253747580@email.com,55477212870,11,21.450.000,0,0,21.450.000,3.589.000,0,0,0,25.039.000
22/11/2019,user332184110@email.com,55477212873,14,29.250.000,-136.500,-11.243.500,17.870.000,2.592.000,0,0,0,20.462.000
23/11/2019,user180437890@email.com,55477212876,17,34.900.000,-259.000,0,34.641.000,5.283.000,0,0,0,39.924.000
24/11/2019,user352002670@email.com,55477212879,14,30.750.000,0,0,30.750.000,4.586.000,0,0,0,35.336.000
25/11/2019,user241368415@email.com,55477212882,19,37.050.000,-273.000,-9.750.000,27.027.000,4.286.000,0,0,0,31.313.000
26/11/2019,user388123070@email.com,55477212885,19,36.750.000,0,0,36.750.000,5.881.000,0,0,0,42.631.000
27/11/2019,user402623060@email.com,55477212888,15,33.150.000,-273.000,-5.713.500,27.163.500,3.988.000,0,0,0,31.151.500
28/11/2019,user259262775@email.com,55477212891,14,31.200.000,0,299.000,31.499.000,4.287.000,0,0,0,35.786.000
29/11/2019,user346323235@email.com,55477212894,11,23.400.000,-195.000,-1.950.000,21.255.000,3.190.000,0,0,0,24.445.000
30/11/2019,user152102860@email.com,55477212897,12,25.350.000,-273.000,0,25.077.000,3.588.000,0,0,0,28.665.000
01/12/2019,user63658675@email.com,55477212900,16,31.050.000,0,0,31.050.000,4.984.000,0,0,0,36.034.000
02/12/2019,user379990335@email.com,55477212903,20,36.675.000,-125.650,0,36.549.350,6.480.000,0,0,0,43.029.350
03/12/2019,user133694730@email.com,55477212906,13,23.335.000,0,-11.408.500,11.926.500,2.193.000,0,0,0,14.119.500
04/12/2019,user348953020@email.com,55477212909,20,35.900.000,0,0,35.900.000,6.180.000,0,0,0,42.080.000
05/12/2019,user45164550@email.com,55477212912,16,30.470.000,-125.650,-7.800.000,22.544.350,3.688.000,0,0,0,26.232.350
06/12/2019,user379895025@email.com,55477212915,11,23.335.000,-179.500,0,23.155.500,3.589.000,0,0,0,26.744.500
07/12/2019,user21858260@email.com,55477212918,11,21.540.000,0,0,21.540.000,3.589.000,0,0,0,25.129.000
08/12/2019,user145545760@email.com,55477212921,24,49.215.000,-125.650,0,49.089.350,7.576.000,0,0,0,56.665.350
09/12/2019,user389618705@email.com,55477212924,27,57.440.000,-125.650,0,57.314.350,8.473.000,0,0,0,65.787.350
10/12/2019,user42513555@email.com,55477212927,15,28.720.000,0,0,28.720.000,4.685.000,0,0,0,33.405.000
11/12/2019,user94260305@email.com,55477212930,11,19.745.000,-125.650,-22.260.500,-2.641.150,0,0,0,0,-2.641.150
12/12/2019,user160803095@email.com,55477212933,12,21.540.000,0,0,21.540.000,3.988.000,0,0,0,25.528.000
13/12/2019,user58279640@email.com,55477212936,16,32.310.000,-807.750,0,31.502.250,4.984.000,0,0,0,36.486.250
14/12/2019,user84906260@email.com,55477212939,21,44.880.000,-2.136.550,0,42.743.450,6.480.000,0,0,0,49.223.450
15/12/2019,user176960680@email.com,55477212942,13,26.925.000,-735.950,-17.955.000,8.234.050,1.196.000,0,0,0,9.430.050
16/12/2019,user239267165@email.com,55477212945,16,28.720.000,-125.650,0,28.594.350,4.984.000,0,0,0,33.578.350
17/12/2019,user377587840@email.com,55477212948,16,37.695.000,-1.615.500,0,36.079.500,5.184.000,0,0,0,41.263.500
18/12/2019,user240239305@email.com,55477212951,14,29.725.000,-199.500,299.000,29.824.500,4.087.000,0,0,0,33.911.500
19/12/2019,user194754815@email.com,55477212954,12,23.940.000,0,0,23.940.000,3.788.000,0,0,0,27.728.000
20/12/2019,user25234890@email.com,55477212957,13,25.845.000,0,-43.700.500,-17.855.500,-3.090.000,0,0,819.000,-20.126.500
21/12/2019,user111370230@email.com,55477212960,14,27.660.000,-139.650,0,27.520.350,4.586.000,0,0,0,32.106.350
22/12/2019,user232187065@email.com,55477212963,8,35.595.000,-3.528.000,0,32.067.000,2.792.000,0,0,0,34.859.000
23/12/2019,user40208565@email.com,55477212966,4,11.790.000,0,0,11.790.000,1.196.000,0,0,0,12.986.000
24/12/2019,user277672905@email.com,55477212969,7,21.430.000,-390.000,-1.950.000,19.090.000,1.894.000,0,0,0,20.984.000
25/12/2019,user21888955@email.com,55477212972,4,7.800.000,0,0,7.800.000,1.296.000,0,0,0,9.096.000
26/12/2019,user271204540@email.com,55477212975,9,19.545.000,-195.000,-1.995.000,17.355.000,2.492.000,0,0,0,19.847.000
27/12/2019,user240133890@email.com,55477212978,5,11.545.000,-195.000,0,11.350.000,1.595.000,0,0,0,12.945.000
28/12/2019,user92042630@email.com,55477212981,0,0,0,-37.737.000,-37.737.000,-3.589.000,0,0,0,-41.326.000
29/12/2019,user382230475@email.com,55477212984,2,3.849.000,0,0,3.849.000,598.000,0,0,0,4.447.000
30/12/2019,user369734730@email.com,55477212987,7,15.192.000,0,0,15.192.000,2.193.000,0,0,0,17.385.000
31/12/2019,user178743045@email.com,55477212990,4,9.495.000,-132.930,0,9.362.070,1.196.000,0,0,0,10.558.070
01/01/2020,user34805255@email.com,55477212993,11,22.788.000,-322.830,-9.555.000,12.910.170,2.093.000,0,0,0,15.003.170
02/01/2020,user255919110@email.com,55477212996,3,5.697.000,0,0,5.697.000,997.000,0,0,0,6.694.000
03/01/2020,user199946865@email.com,55477212999,5,17.142.000,-379.800,0,16.762.200,1.595.000,0,0,0,18.357.200
04/01/2020,user106852605@email.com,55477213002,6,18.982.000,-569.300,0,18.412.700,1.894.000,0,0,0,20.306.700
05/01/2020,user8856155@email.com,55477213005,8,16.843.000,0,0,16.843.000,2.692.000,0,0,0,19.535.000
06/01/2020,user214613300@email.com,55477213008,3,5.697.000,0,-1.899.000,3.798.000,698.000,0,0,0,4.496.000
07/01/2020,user45744555@email.com,55477213011,9,26.778.000,-1.747.500,0,25.030.500,2.891.000,0,0,0,27.921.500
08/01/2020,user222191505@email.com,55477213014,5,13.293.000,0,0,13.293.000,1.495.000,0,0,0,14.788.000
09/01/2020,user102034685@email.com,55477213017,0,0,0,0,0,0,0,0,0,0
10/01/2020,user144598730@email.com,55477213020,0,0,0,0,0,0,0,0,0,0
11/01/2020,user378482460@email.com,55477213023,0,0,0,0,0,0,0,0,0,0
12/01/2020,user356538390@email.com,55477213026,1,1.995.000,0,0,1.995.000,299.000,0,0,0,2.294.000
13/01/2020,user56735110@email.com,55477213029,0,0,0,-15.725.400,-15.725.400,-1.296.000,0,0,0,-17.021.400
14/01/2020,user98084995@email.com,55477213032,0,0,0,0,0,0,0,0,0,0
15/01/2020,user319222490@email.com,55477213035,0,0,0,0,0,0,0,0,0,0
16/01/2020,user379266200@email.com,55477213038,0,0,0,0,0,0,0,0,0,0
17/01/2020,user342992440@email.com,55477213041,0,0,0,0,0,0,0,0,0,0
18/01/2020,user242225940@email.com,55477213044,2,2.998.000,0,0,2.998.000,0,0,0,0,2.998.000
19/01/2020,user333579460@email.com,55477213047,3,4.497.000,0,0,4.497.000,299.000,0,0,0,4.796.000
20/01/2020,user322395475@email.com,55477213050,1,2.450.000,0,0,2.450.000,0,0,0,0,2.450.000
21/01/2020,user59665115@email.com,55477213053,2,4.900.000,0,0,4.900.000,0,0,0,0,4.900.000
22/01/2020,user270221095@email.com,55477213056,5,11.595.000,0,0,11.595.000,0,0,0,0,11.595.000
23/01/2020,user102716010@email.com,55477213059,5,12.250.000,0,0,12.250.000,0,0,0,0,12.250.000
24/01/2020,user15565465@email.com,55477213062,9,24.500.000,-245.000,-2.998.000,21.257.000,-299.000,0,0,0,20.958.000
25/01/2020,user324080250@email.com,55477213065,8,21.140.000,-399.000,0,20.741.000,0,0,0,0,20.741.000
26/01/2020,user365592170@email.com,55477213068,8,19.145.000,0,0,19.145.000,0,0,0,0,19.145.000
27/01/2020,user202568680@email.com,55477213071,6,13.240.000,0,-7.350.000,5.890.000,0,0,0,0,5.890.000
28/01/2020,user98230670@email.com,55477213074,9,22.050.000,0,0,22.050.000,0,0,0,0,22.050.000
29/01/2020,user349495390@email.com,55477213077,7,18.900.000,-661.500,0,18.238.500,0,0,0,0,18.238.500
30/01/2020,user342370785@email.com,55477213080,8,19.600.000,0,0,19.600.000,0,0,0,0,19.600.000
31/01/2020,user201396795@email.com,55477213083,5,12.250.000,0,-7.350.000,4.900.000,0,0,0,0,4.900.000
01/02/2020,user29687995@email.com,55477213086,9,26.190.000,-1.033.500,0,25.156.500,0,0,0,0,25.156.500
02/02/2020,user4691440@email.com,55477213089,2,4.900.000,0,0,4.900.000,0,0,0,0,4.900.000
03/02/2020,user283975700@email.com,55477213092,15,41.650.000,0,0,41.650.000,0,0,0,0,41.650.000
04/02/2020,user138797155@email.com,55477213095,12,27.840.000,0,0,27.840.000,0,0,0,0,27.840.000
05/02/2020,user255440110@email.com,55477213098,10,26.950.000,-171.500,0,26.778.500,0,0,0,0,26.778.500
06/02/2020,user300851785@email.com,55477213101,12,29.400.000,0,0,29.400.000,0,0,0,0,29.400.000
07/02/2020,user49331275@email.com,55477213104,15,36.750.000,0,0,36.750.000,0,0,0,0,36.750.000
08/02/2020,user152564610@email.com,55477213107,14,34.540.000,0,0,34.540.000,0,0,0,0,34.540.000
09/02/2020,user61691560@email.com,55477213110,11,26.030.000,0,0,26.030.000,0,0,0,0,26.030.000
10/02/2020,user279197330@email.com,55477213113,15,40.430.000,-702.800,-4.440.000,35.287.200,0,0,0,0,35.287.200
11/02/2020,user19697750@email.com,55477213116,14,35.530.000,-604.800,0,34.925.200,0,0,0,0,34.925.200
12/02/2020,user299350980@email.com,55477213119,4,9.800.000,0,-7.350.000,2.450.000,0,0,0,0,2.450.000
13/02/2020,user181199530@email.com,55477213122,9,26.420.000,-484.000,0,25.936.000,0,0,0,0,25.936.000
14/02/2020,user401515250@email.com,55477213125,5,12.250.000,0,-4.900.000,7.350.000,0,0,0,0,7.350.000
15/02/2020,user70031755@email.com,55477213128,4,9.800.000,-171.500,-2.450.000,7.178.500,0,0,0,0,7.178.500
16/02/2020,user8290215@email.com,55477213131,0,0,0,0,0,0,0,0,0,0
17/02/2020,user91325885@email.com,55477213134,2,4.980.000,0,0,4.980.000,0,0,0,0,4.980.000
18/02/2020,user196412660@email.com,55477213137,11,27.390.000,0,-4.900.000,22.490.000,0,0,0,0,22.490.000
19/02/2020,user93281580@email.com,55477213140,10,24.900.000,0,0,24.900.000,0,0,0,0,24.900.000
20/02/2020,user45948360@email.com,55477213143,10,24.900.000,0,-4.980.000,19.920.000,0,0,0,0,19.920.000
21/02/2020,user41401980@email.com,55477213146,23,60.720.000,0,0,60.720.000,0,0,0,0,60.720.000
22/02/2020,user209003435@email.com,55477213149,24,64.740.000,-672.300,0,64.067.700,0,0,0,0,64.067.700
23/02/2020,user131432780@email.com,55477213152,20,49.460.000,0,0,49.460.000,0,0,0,0,49.460.000
24/02/2020,user41273695@email.com,55477213155,26,64.400.000,-174.300,-2.490.000,61.735.700,0,0,0,0,61.735.700
25/02/2020,user363486275@email.com,55477213158,25,64.400.000,-638.300,0,63.761.700,0,0,0,0,63.761.700
26/02/2020,user133408160@email.com,55477213161,20,49.800.000,-348.600,-9.960.000,39.491.400,0,0,0,0,39.491.400
27/02/2020,user117231835@email.com,55477213164,24,69.220.000,-1.892.100,-17.430.000,49.897.900,0,0,0,0,49.897.900
28/02/2020,user332207155@email.com,55477213167,20,65.960.000,-1.011.000,-1.950.000,62.999.000,0,0,0,0,62.999.000
29/02/2020,user76996615@email.com,55477213170,27,67.230.000,-174.300,0,67.055.700,0,0,0,0,67.055.700
01/03/2020,user127170730@email.com,55477213173,27,69.330.000,-459.000,-27.390.000,41.481.000,0,0,0,0,41.481.000
02/03/2020,user116741595@email.com,55477213176,22,63.850.000,-996.000,-2.490.000,60.364.000,0,0,0,0,60.364.000
03/03/2020,user358446800@email.com,55477213179,22,57.880.000,-348.600,-29.880.000,27.651.400,0,0,0,0,27.651.400
04/03/2020,user112209105@email.com,55477213182,21,54.780.000,-498.000,0,54.282.000,0,0,0,0,54.282.000
05/03/2020,user85009845@email.com,55477213185,24,60.370.000,-871.500,0,59.498.500,0,0,0,0,59.498.500
06/03/2020,user262485605@email.com,55477213188,23,57.270.000,-348.600,0,56.921.400,0,0,0,0,56.921.400
07/03/2020,user378420720@email.com,55477213191,21,57.270.000,-697.200,-7.470.000,49.102.800,0,0,0,0,49.102.800
08/03/2020,user15298115@email.com,55477213194,15,45.430.000,0,0,45.430.000,0,0,0,0,45.430.000
09/03/2020,user90264840@email.com,55477213197,20,52.290.000,-672.300,-32.805.700,18.812.000,0,0,0,0,18.812.000
10/03/2020,user219373155@email.com,55477213200,5,14.940.000,0,0,14.940.000,0,0,0,0,14.940.000
11/03/2020,user350802505@email.com,55477213203,13,34.860.000,-1.045.800,-4.980.000,28.834.200,0,0,0,0,28.834.200
12/03/2020,user279647310@email.com,55477213206,14,34.860.000,-174.300,0,34.685.700,0,0,0,0,34.685.700
13/03/2020,user171067330@email.com,55477213209,16,44.820.000,-846.600,0,43.973.400,0,0,0,0,43.973.400
14/03/2020,user117525810@email.com,55477213212,51,138.170.000,-6.770.300,0,131.399.700,0,0,0,0,131.399.700
15/03/2020,user193516415@email.com,55477213215,13,41.060.000,-907.600,0,40.152.400,0,0,0,0,40.152.400
16/03/2020,user170832945@email.com,55477213218,9,30.150.000,-2.007.600,0,28.142.400,0,0,0,0,28.142.400
17/03/2020,user370538150@email.com,55477213221,1,2.490.000,0,-24.900.000,-22.410.000,0,0,0,0,-22.410.000
18/03/2020,user305838425@email.com,55477213224,7,17.430.000,0,0,17.430.000,0,0,0,0,17.430.000
19/03/2020,user173821285@email.com,55477213227,3,7.680.000,-189.000,0,7.491.000,0,0,0,0,7.491.000
20/03/2020,user362708420@email.com,55477213230,2,7.470.000,-498.000,0,6.972.000,0,0,0,0,6.972.000
21/03/2020,user241083820@email.com,55477213233,0,0,0,0,0,0,0,0,0,0
22/03/2020,user379928080@email.com,55477213236,0,0,0,0,0,0,0,0,0,0
23/03/2020,user192109800@email.com,55477213239,0,0,0,0,0,0,0,0,0,0
24/03/2020,user50229150@email.com,55477213242,0,0,0,0,0,0,0,0,0,0
25/03/2020,user346868685@email.com,55477213245,0,0,0,0,0,0,0,0,0,0
26/03/2020,user277830415@email.com,55477213248,1,2.490.000,0,-22.286.700,-19.796.700,0,0,0,0,-19.796.700
27/03/2020,user360167555@email.com,55477213251,0,0,0,0,0,0,0,0,0,0
28/03/2020,user33768730@email.com,55477213254,18,58.770.000,0,0,58.770.000,0,0,0,0,58.770.000
29/03/2020,user103876020@email.com,55477213257,18,52.900.000,-580.000,0,52.320.000,0,0,0,0,52.320.000
30/03/2020,user219439415@email.com,55477213260,18,60.890.000,-3.529.000,0,57.361.000,240.000,0,0,0,57.601.000
31/03/2020,user300611365@email.com,55477213263,23,71.680.000,-539.000,0,71.141.000,0,0,0,0,71.141.000
01/04/2020,user80089330@email.com,55477213266,22,78.720.000,-3.180.000,-14.100.000,61.440.000,0,0,0,0,61.440.000
02/04/2020,user117042045@email.com,55477213269,15,49.780.000,-918.000,0,48.862.000,0,0,0,0,48.862.000
03/04/2020,user307891375@email.com,55477213272,27,96.350.000,-3.255.000,0,93.095.000,0,0,0,0,93.095.000
04/04/2020,user83199085@email.com,55477213275,21,82.480.000,-1.396.000,-8.700.000,72.384.000,0,0,0,0,72.384.000
05/04/2020,user348575455@email.com,55477213278,16,63.240.000,-3.885.500,0,59.354.500,0,0,0,0,59.354.500
06/04/2020,user75325920@email.com,55477213281,22,70.260.000,-906.300,0,69.353.700,240.000,0,0,0,69.593.700
07/04/2020,user129896650@email.com,55477213284,22,80.290.000,-2.688.000,0,77.602.000,0,0,0,0,77.602.000
08/04/2020,user250266180@email.com,55477213287,20,68.940.000,-2.605.000,-9.300.000,57.035.000,0,0,0,0,57.035.000
09/04/2020,user248841830@email.com,55477213290,32,98.540.000,-972.000,0,97.568.000,240.000,0,0,0,97.808.000
10/04/2020,user104188005@email.com,55477213293,19,70.090.000,-217.000,-9.300.000,60.573.000,0,0,0,0,60.573.000
11/04/2020,user209354965@email.com,55477213296,29,118.390.000,-5.194.000,0,113.196.000,0,0,0,0,113.196.000
12/04/2020,user215387900@email.com,55477213299,29,124.630.000,-5.092.500,0,119.537.500,0,0,0,0,119.537.500
13/04/2020,user256281575@email.com,55477213302,25,99.490.000,-2.011.500,-3.500.000,93.978.500,0,0,0,0,93.978.500
14/04/2020,user29142305@email.com,55477213305,27,124.509.000,-1.564.500,-14.583.000,108.361.500,0,0,0,0,108.361.500
