N_SDS,BILL_NUMBER,N_DOC,ACCOUNT_N,MAIL,DATE,BUSINESS,AGENT,TLMK_DIST_PROP,STATUS_PROCESS_DIG,TYPE,ACTIVATION_TYPE,SRF_SRS_ID,USER,ENTITY,CHANNEL,CELL,SRY_BUSINESS,SRY_PORTIN_NUMBER,SRY_FORM_NUMBER,SRY_CREATION_DATE,SRF_ORH_ID,PORT_STATUS,MAIL_CONDITION,TPO_VALIDATION,TPO_INTEG_STL,TPO_ACEPT,TPO_SHIPPING_MAIL,TPO_TOTAL,STATUS,PROCEDURE_TYPE,Q
29257106,9993579886,6650,1599712,29257106.6650@example.com,3/7/23 16:03,POSTPAYMENT,,IN PERSON,initial-copy_link,BEGIN_DIGITAL,DIGITAL,O,CTI22301,647712,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08511191PNA,29257106SEC,3/7/23 16:03,27920669,PENDING CARRY PIN,VALID MAIL,,,,,,initial,spn,Q1
29257055,9993576053,24016,1599712,29257055.24016@example.com,3/7/23 15:56,POSTPAYMENT,,IN PERSON,initial-copy_link,BEGIN_DIGITAL,DIGITAL,O,CTI22301,647712,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08511159PNA,29257055SEC,3/7/23 15:56,27920615,PENDING CARRY PIN,VALID MAIL,,,,,,initial,spn,Q1
29326943,,27172,1599712,29326943.27172@example.com,3/21/23 17:36,POSTPAYMENT,,IN PERSON,initial,BEGIN_DIGITAL,DIGITAL,A,CTI22301,647712,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08556712PNA,29326943SEC,3/21/23 17:36,28022833,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
29326943,,27172,1599712,29326943.27172@example.com,3/21/23 17:36,POSTPAYMENT,,IN PERSON,initial,BEGIN_DIGITAL,DIGITAL,A,CTI22301,647712,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08556712PNA,29326943SEC,3/21/23 17:36,28022833,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
29365850,9993888039,37771,1599712,29365850.37771@example.com,3/30/23 12:44,POSTPAYMENT,,IN PERSON,,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08581565PNA,29365850SEC,3/30/23 12:44,28071425,PIN ENTERED,VALID MAIL,,,,,,,,Q1
29348024,9993834726,37779,1599712,29348024.37779@example.com,3/27/23 14:03,POSTPAYMENT,,IN PERSON,,END_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08570184PNA,29348024SEC,3/27/23 14:03,28050541,ACTIVATED NRO PORTED,VALID MAIL,,,,,,,,Q1
29348024,9993834730,37779,1599712,29348024.37779@example.com,3/27/23 14:03,POSTPAYMENT,,IN PERSON,,END_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08570184PNA,29348024SEC,3/27/23 14:03,28050541,ACTIVATED NRO PORTED,VALID MAIL,,,,,,,,Q1
29348024,9993834726,37779,1599712,29348024.37779@example.com,3/27/23 14:03,POSTPAYMENT,,IN PERSON,,END_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08570184PNA,29348024SEC,3/27/23 14:03,28050541,ACTIVATED NRO PORTED,VALID MAIL,,,,,,,,Q1
29348024,9993834730,37779,1599712,29348024.37779@example.com,3/27/23 14:03,POSTPAYMENT,,IN PERSON,,END_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08570184PNA,29348024SEC,3/27/23 14:03,28050541,ACTIVATED NRO PORTED,VALID MAIL,,,,,,,,Q1
29296583,9993708907,38007,1599712,29296583.38007@example.com,3/15/23 12:14,POSTPAYMENT,,IN PERSON,initial,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08537171PNA,29296583SEC,3/15/23 12:14,27980909,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
29296583,9993708908,38007,1599712,29296583.38007@example.com,3/15/23 12:14,POSTPAYMENT,,IN PERSON,initial,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08537171PNA,29296583SEC,3/15/23 12:14,27980909,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
29296583,9993708907,38007,1599712,29296583.38007@example.com,3/15/23 12:14,POSTPAYMENT,,IN PERSON,initial,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08537171PNA,29296583SEC,3/15/23 12:14,27980909,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
29296583,9993708908,38007,1599712,29296583.38007@example.com,3/15/23 12:14,POSTPAYMENT,,IN PERSON,initial,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08537171PNA,29296583SEC,3/15/23 12:14,27980909,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
29305370,,32208,1599712,29305370.32208@example.com,3/16/23 17:13,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENTS_ATTACHED,END_DIGITAL,DIGITAL,A,CTI22301,490754,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08543002PNA,29305370SEC,3/16/23 17:13,27993626,REJECTED,VALID MAIL,,,,,,sent,spn,Q1
29263016,9993596092,33195,1599712,29263016.33195@example.com,3/8/23 14:40,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENTS_ATTACHED,END_DIGITAL,DIGITAL,O,CTI24001,401461,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08515076PNA,29263016SEC,3/8/23 14:40,27929133,PENDING CARRY PIN,VALID MAIL,,,,,,sent,spn,Q1
29263016,9993596093,33195,1599712,29263016.33195@example.com,3/8/23 14:40,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENTS_ATTACHED,END_DIGITAL,DIGITAL,O,CTI24001,401461,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08515076PNA,29263016SEC,3/8/23 14:40,27929133,PENDING CARRY PIN,VALID MAIL,,,,,,sent,spn,Q1
29263016,9993596092,33195,1599712,29263016.33195@example.com,3/8/23 14:40,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENTS_ATTACHED,END_DIGITAL,DIGITAL,O,CTI24001,401461,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08515076PNA,29263016SEC,3/8/23 14:40,27929133,PENDING CARRY PIN,VALID MAIL,,,,,,sent,spn,Q1
29263016,9993596093,33195,1599712,29263016.33195@example.com,3/8/23 14:40,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENTS_ATTACHED,END_DIGITAL,DIGITAL,O,CTI24001,401461,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08515076PNA,29263016SEC,3/8/23 14:40,27929133,PENDING CARRY PIN,VALID MAIL,,,,,,sent,spn,Q1
29298232,9993710181,34606,1599712,29298232.34606@example.com,3/15/23 15:21,POSTPAYMENT,,IN PERSON,initial,BEGIN_DIGITAL,DIGITAL,O,CTI24001,401461,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08538265PNA,29298232SEC,3/15/23 15:21,27983082,CREATED,VALID MAIL,,,,,,initial,spn,Q1
29292165,9993684210,39473,1599712,29292165.39473@example.com,3/14/23 15:48,POSTPAYMENT,,IN PERSON,sent,END_DIGITAL,DIGITAL,O,CTI24001,401461,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08534337PNA,29292165SEC,3/14/23 15:48,27974043,REJECTED,VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680250,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680255,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680249,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680253,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680247,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680254,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680250,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680255,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680249,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680253,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680247,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680254,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680250,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680255,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680249,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680253,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680247,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680254,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680250,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680255,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680249,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680253,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680247,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680254,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680250,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680255,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680249,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680253,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680247,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680254,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680250,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680255,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680249,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680253,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680247,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29274171,9993680254,31002,1599712,29274171.31002@example.com,3/10/23 11:53,POSTPAYMENT,,IN PERSON,sent-IDOC_DOCUMENT_OPENED,END_DIGITAL,DIGITAL,O,CTI23101,74866,CAC,CAC OLIVOS                                                          ,POSTPAYMENT,08522640PNA,29274171SEC,3/10/23 11:53,27944815,ACTIVATED NRO PORTED,NO VALID MAIL,,,,,,sent,spn,Q1
29296843,9993699569,14759,1599712,29296843.14759@example.com,3/15/23 12:41,POSTPAYMENT,,IN PERSON,initial-IDOC_DOCUMENT_OPENED,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08537341PNA,29296843SEC,3/15/23 12:41,27981217,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
29296843,9993699565,14759,1599712,29296843.14759@example.com,3/15/23 12:41,POSTPAYMENT,,IN PERSON,initial-IDOC_DOCUMENT_OPENED,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08537341PNA,29296843SEC,3/15/23 12:41,27981217,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
29296843,9993699568,14759,1599712,29296843.14759@example.com,3/15/23 12:41,POSTPAYMENT,,IN PERSON,initial-IDOC_DOCUMENT_OPENED,BEGIN_DIGITAL,DIGITAL,O,CTI8288,408051,CAC,CAC CONSTITUCION                                                    ,POSTPAYMENT,08537341PNA,29296843SEC,3/15/23 12:41,27981217,ACTIVATED NRO PORTED,VALID MAIL,,,,,,initial,spn,Q1
