Client ID,Full Name,Address,Phone,Email,Act/Desact,Bandwidth,VLAN ID,IP,IP Gateway,Leases,User,Password, MAC
380,Lou Mab,Alem 97  ,24318,user566203@email.com,1,25Mb,10,10.10.10.1,10.10.11.69,0:10:7:57,user_loust,pass_u380,MAC_HWTC6B
387,Gua Ald,Alsi 187 ,24143,user798381@email.com,1,15Mb,10,10.10.10.1,10.10.10.117,0:38:0:49,user_guall,pass_n387,MAC_HWTC6B
400,Luj Ste,Bo.  19  ,24192,user779762@email.com,1,25Mb,10,10.10.10.1,10.10.13.224,0:13:59:49,user_lujan,pass_n400,MAC_HWTC6B
419,Cor Ari,Pueb 05  ,24025,user805581@email.com,1,25Mb,10,10.10.10.1,10.10.10.123,0:50:43:20,user_cordo,pass_a419,MAC_HWTC6B
423,Ber Gus,Avel 31  ,24240,user428497@email.com,1,25Mb,10,10.10.10.1,10.10.12.127,0:20:6:45,user_beras,pass_n423,MAC_HWTC6B
429,Mac Sil,Azul 26  ,24138,user236320@email.com,1,25Mb,10,10.10.10.1,10.10.11.28,0:45:59:57,user_macie,pass_l429,MAC_HWTC6B
436,Cab Gla,Avel  6  ,24210,user257517@email.com,1,50Mb,10,10.10.10.1,10.10.10.153,0:19:33:14,user_caban,pass__436,MAC_HWTCB1
447,Arr Ric,Pueb 384 ,24388,user667868@email.com,1,25Mb,10,10.10.10.1,10.10.13.130,0:28:43:56,user_arrib,pass__447,MAC_HWTC6B
468,Bid Mar,Azul 358 ,24446,user303104@email.com,1,25Mb,10,10.10.10.1,10.10.11.117,0:44:46:23,user_bideb,pass_e468,MAC_HWTCB1
496,Abr Hug,Las  35  ,24237,user709169@email.com,1,25Mb,10,10.10.10.1,10.10.11.16,0:53:47:31,user_abreg,pass_o496,MAC_HWTC6B
503,Moy Adr,Alve 73  ,24153,user480422@email.com,1,25Mb,10,10.10.10.1,10.10.12.114,0:39:39:21,user_moyan,pass_o503,
513,Ben Nil,Case s)  ,24253,user420088@email.com,1,15Mb,10,10.10.10.1,10.10.10.215,0:10:45:18,user_benav,pass_z513,HWTC6BE47D20
515,Goo Goo,Pell 19  ,24139,user1055300@email.com,1,50Mb,10,10.10.10.1,10.10.13.79,0:54:42:30,user_goodc,pass_e515,HWTCB1A8FC30
517,Bla Fab,Dorr 41  ,24286,user831825@email.com,1,50Mb,10,10.10.10.1,10.10.12.136,0:48:58:17,user_blast,pass_n517,HWTC6B095110
536,Luj Alf,Bo.  56  ,24200,user777688@email.com,1,25Mb,10,10.10.10.1,10.10.10.201,0:11:27:2,user_lujan,pass_an56,HWTC6BE43BE0
544,Alo Ana,Puey 73  ,24155,user453820@email.com,1,25Mb,10,10.10.10.1,10.10.11.225,0:26:46:54,user_alons,pass_o544,HWTC6B3F78B0
575,Rod Ale,Hip. 75  ,24142,user686632@email.com,1,25Mb,10,10.10.10.1,10.10.12.174,0:18:17:27,user_rodri,pass_z575,HWTC6B3F5AA0
585,Led Jaz,Hipo 309 ,24330,user1156685@email.com,1,25Mb,10,10.10.10.1,10.10.10.21,0:7:0:0,user_ledes,pass_a585,HWTC6BE49570
600,Jou Mar,Sarm a)  ,24039,user422377@email.com,1,15Mb,10,10.10.10.1,10.10.13.247,0:29:15:38,user_jourd,pass_n600,HWTC6BE49E30
604,Taf Mig,San  ul  ,24084,user562072@email.com,1,50Mb,10,10.10.10.1,10.10.12.6,0:43:25:59,user_tafur,pass_a604,
624,Red Mau,More 62  ,24132,user514514@email.com,1,25Mb,10,10.10.10.1,10.10.11.203,0:22:14:51,user_redol,pass_i624,HWTC6B3F46A0
627,Ban Cre,San  io  ,24416,user973276@email.com,1,50Mb,10,10.10.10.1,10.10.11.221,0:48:38:26,user_bcocr,pass_p627,HWTC6B3F3920
665,Alv Naz,Alve 23  ,24310,user1153636@email.com,1,25Mb,10,10.10.10.1,10.10.13.4,0:13:38:0,user_alvar,pass_o665,HWTC6BE49540
669,De  De ,25 d 493 ,24317,user1046648@email.com,1,50Mb,10,10.10.10.1,10.10.10.79,0:45:52:11,user_depun,pass_o669,HWTC6B0943B0
671,Jau Ber,Azul 647 ,24371,user758700@email.com,1,15Mb,10,10.10.10.1,10.10.10.66,0:20:23:48,user_jaure,pass_i671,HWTC6BE48950
678,Gon Mat,Bdo. 17  ,24128,user596642@email.com,1,25Mb,10,10.10.10.1,10.10.10.157,0:48:20:32,user_gonza,pass_s678,HWTCB1A922B0
702,Lia Isa,Azul 36  ,24234,user661693@email.com,1,25Mb,10,10.10.10.1,10.10.10.248,0:8:50:28,user_lias_,pass_s702,HWTC6BE48F70
737,Gue Mar,More 891 ,24487,user950036@email.com,1,15Mb,10,10.10.10.1,10.10.10.244,0:27:18:47,user_guere,pass_n737,
759,Cop Fab,San  78  ,24320,user1106786@email.com,1,25Mb,10,10.10.10.1,10.10.10.74,0:51:9:25,user_coppo,pass_a759,HWTC6B3F80F0
772,Mun Jul,Bo.  .3  ,24366,user270196@email.com,1,25Mb,10,10.10.10.1,10.10.12.89,0:43:12:1,user_munic,pass_y772,HWTCB1A8F5D0
794,Gut Fac,Azul 71  ,24484,user680051@email.com,1,25Mb,10,10.10.10.1,10.10.13.84,0:22:20:20,user_gutie,pass_z794,HWTCB1A90060
839,Die Luc,Las  273 ,24275,user362792@email.com,1,15Mb,10,10.10.10.1,10.10.11.102,0:50:49:34,user_dieri,pass_x839,HWTC6B094880
864,Gar Pao,C.te 38  ,24106,user894560@email.com,1,50Mb,10,10.10.10.1,10.10.11.124,0:5:6:57,user_garci,pass_a864,HWTC6B099DF0
865,Luc Sus,Cons 08  ,24058,user944266@email.com,1,25Mb,10,10.10.10.1,10.10.13.56,0:43:1:19,user_lucch,pass_e865,HWTC6BE48E70
866,Lac Mar,Bo.  10  ,24126,user515200@email.com,1,25Mb,10,10.10.10.1,10.10.12.29,0:2:47:14,user_lacav,pass_e866,HWTC6BE43BA0
869,Riv Edu,Dorr 674 ,24269,user783623@email.com,1,200Mb,10,10.10.10.1,10.10.10.208,0:19:55:22,user_rossi,pass_i869,HWTCB1A8FDF0
872,Fav Adr,Alsi 24  ,14468,user1080292@email.com,1,50Mb,10,10.10.10.1,10.10.11.70,0:2:58:1,user_favre,pass_e872,HWTC6B3F53F0
911,Ber Gus,Sarm 37  ,24496,user365116@email.com,1,25Mb,10,10.10.10.1,10.10.10.18,0:37:8:4,user_beras,pass_n911,HWTCB1A8EE10
918,Lap Eri,Avel 23  ,24289,user647266@email.com,1,25Mb,10,10.10.10.1,10.10.13.154,0:46:7:32,user_lapad,pass_a918,HWTCB1A903A0
921,Zar Edg,Puey 26  ,24316,user577994@email.com,1,25Mb,10,10.10.10.1,10.10.11.101,0:43:7:37,user_zarau,pass_a921,HWTC6BE49AA0
948,Joh Edg,Bdo. 75  ,24191,user1054966@email.com,1,25Mb,10,10.10.10.1,10.10.13.162,0:32:46:20,user_johns,pass_n948,HWTC6B3F7F80
957,Gav Val,Sord 66  ,24088,user776212@email.com,1,25Mb,10,10.10.10.1,10.10.10.123,0:43:5:57,user_gavaz,pass_a957,HWTC6BE44E20
973,Van Ric,Nica 79  ,24073,user696575@email.com,1,25Mb,10,10.10.10.1,10.10.10.203,0:5:13:25,user_vanol,pass_i973,HWTCB1A8EE40
975,Dia Den,Dorr 34  ,24475,user362059@email.com,1,25Mb,10,10.10.10.1,10.10.11.183,0:23:22:5,user_diaz_,pass_z975,HWTC6B0EE870
978,Gue Rub,Wild 90  ,24119,user453640@email.com,1,25Mb,10,10.10.10.1,10.10.11.227,0:38:53:25,user_guerr,pass_o978,HWTC6BE47AF0
982,Orl Nic,Alve 09  ,24299,user806261@email.com,1,25Mb,10,10.10.10.1,10.10.11.120,0:50:52:20,user_orlan,pass_o982,HWTC6BE4AC10
991,Pog Car,Carm 71  ,24151,user987089@email.com,1,25Mb,10,10.10.10.1,10.10.10.248,0:59:57:13,user_poggi,pass_i991,HWTC6BE4B130
992,Buc Mar,Case 21  ,24197,user1104975@email.com,1,25Mb,10,10.10.10.1,10.10.12.18,0:12:17:44,user_bucci,pass_i992,HWTCB1A90EC0
1007,Mon Gus,Carm 10  ,24474,user1034476@email.com,1,25Mb,10,10.10.10.1,10.10.12.130,0:49:5:43,user_mondi,pass_1007,HWTC6B0EDE30
1034,Ott Ale,Dorr 82  ,24024,user705643@email.com,1,25Mb,10,10.10.10.1,10.10.11.20,0:29:1:46,user_otton,pass_1034,HWTC6B3F80B0
1037,Per Mar,Nica 39  ,24251,user928237@email.com,1,50Mb,10,10.10.10.1,10.10.13.22,0:23:32:14,user_peral,pass_1037,HWTC6B099810
1063,Oro Mar,Azul na  ,24168,user704007@email.com,1,25Mb,10,10.10.10.1,10.10.11.126,0:16:6:38,user_oromi,pass_1063,HWTC6BE48BE0
1091,Di  Jua,Dorr 85  ,24182,user374063@email.com,1,15Mb,10,10.10.10.1,10.10.11.65,0:35:29:51,user_digia,pass_1091,HWTC6BE4A090
1092,Gar Joa,More  4  ,24391,user1158019@email.com,1,15Mb,10,10.10.10.1,10.10.12.132,0:42:38:28,user_garci,pass_1092,HWTCB1A8FA70
1130,Mor Fra,Hip. 08  ,24346,user255703@email.com,1,25Mb,10,10.10.10.1,10.10.10.198,0:52:36:5,user_moril,pass_1130,HWTC6BE466C0
1157,Fra Eli,P.or  8  ,24004,user910060@email.com,1,15Mb,10,10.10.10.1,10.10.12.247,0:43:45:41,user_franc,pass_1157,HWTC6BE44440
1160,But Osv,Alem 63  ,24035,user549981@email.com,1,15Mb,10,10.10.10.1,10.10.10.40,0:44:2:4,user_butti,pass_r263,HWTC6BE47BA0
1177,Gon Jul,Dorr  2  ,24286,user294201@email.com,1,25Mb,10,10.10.10.1,10.10.10.175,0:34:15:28,user_gonza,pass_1177,HWTC6B0F2140
1178,Mak Rau,Alsi 33  ,24144,user203258@email.com,1,15Mb,10,10.10.10.1,10.10.13.73,0:16:49:12,user_makac,pass_1178,HWTC6BE49C40
1187,Ber Ana,Hip. 62  ,24038,user612356@email.com,1,50Mb,10,10.10.10.1,10.10.12.4,0:19:24:16,user_berbe,pass_1187,HWTC6B095D30
1245,Ara Jua,Alve 10  ,24226,user760761@email.com,1,25Mb,10,10.10.10.1,10.10.11.33,0:2:45:10,user_arabe,pass_1245,HWTC6BE493D0
1251,Coc Hug,Sarm 87  ,24057,user207286@email.com,1,25Mb,10,10.10.10.1,10.10.12.15,0:50:20:37,user_cocol,pass_1251,HWTC6B096340
1270,Rom Mar,Case 70  ,24012,user825745@email.com,1,25Mb,10,10.10.10.1,10.10.13.122,0:58:13:12,user_romer,pass_1270,HWTC6B0EADE0
1276,Luc Ser,Larr 98  ,24010,user963956@email.com,1,25Mb,10,10.10.10.1,10.10.10.122,0:26:23:36,user_lucha,pass_1276,HWTC6B0EDEA0
1294,Mas Eli,9 De 57  ,24043,user292662@email.com,1,25Mb,10,10.10.10.1,10.10.13.45,0:30:53:11,user_masen,pass_1294,HWTC6BE47CA0
1302,Gai Mar,9 De 97  ,24120,user974392@email.com,1,15Mb,10,10.10.10.1,10.10.13.103,0:19:8:59,user_gaiot,pass_1302,HWTC6BE48F50
1306,Guz Jul,25 D 622 ,24152,user846347@email.com,1,15Mb,10,10.10.10.1,10.10.13.209,0:52:30:20,user_guzma,pass_1306,HWTC6BE49740
1325,Fal Oma,Bo.e 81  ,24221,user587558@email.com,1,25Mb,10,10.10.10.1,10.10.11.143,0:6:6:43,user_falas,pass_1325,HWTC6BE46390
1328,Zar Jua,Alem 45  ,24243,user571048@email.com,1,15Mb,10,10.10.10.1,10.10.13.131,0:59:21:31,user_zarau,pass_1328,HWTC2B4BAF9B
1342,Fer Die,San  82  ,24427,user379116@email.com,1,200Mb,10,10.10.10.1,10.10.11.211,0:1:9:28,user_ferna,pass_1342,HWTC8E28F960
1343,Sab Nor,Avel 94  ,24059,user419512@email.com,1,15Mb,10,10.10.10.1,10.10.12.17,0:54:38:3,user_sabat,pass_1343,HWTC6B096CB0
1345,Joh Rob,Alem 98  ,24210,user906710@email.com,1,25Mb,10,10.10.10.1,10.10.13.28,0:17:31:16,user_johns,pass_1345,HWTC6BE46FE0
1350,San Mar,Bo.  85  ,24039,user979292@email.com,1,25Mb,10,10.10.10.1,10.10.13.36,0:17:37:47,user_santa,pass_1350,HWTCB1A8E350
1357,Gom Dan,Cisn 61  ,24304,user530185@email.com,1,25Mb,10,10.10.10.1,10.10.12.3,0:15:45:26,user_gomez,pass_1357,HWTCB1A8F820
1358,Bog Jul,San  18  ,24241,user627071@email.com,1,25Mb,10,10.10.10.1,10.10.12.211,0:28:39:47,user_boggi,pass_1358,HWTCB1A8FE20
1360,Mor Ped,Dorr 71  ,24123,user1077775@email.com,1,25Mb,10,10.10.10.1,10.10.10.195,0:47:6:46,user_moren,pass_1360,HWTC6BE498D0
1375,Nan Mon,Pell 45  ,24376,user736654@email.com,1,25Mb,10,10.10.10.1,10.10.13.137,0:35:5:58,user_nanti,pass_1375,HWTC6BE48F40
1376,Cie ,Las  443 ,24075,user364129@email.com,1,50Mb,10,10.10.10.1,10.10.10.173,0:3:16:50,user_cieza,pass_1376,HWTCA35C4E9C
1386,Pug Enz,Alem 82  ,24367,user369342@email.com,1,25Mb,10,10.10.10.1,10.10.10.122,0:59:43:26,user_puga_,pass_1386,HWTC6BE47600
1393,For Gab,Case 59  ,24259,user1030345@email.com,1,25Mb,10,10.10.10.1,10.10.12.170,0:34:31:0,user_foron,pass_1393,HWTC6B3F7FF0
1403,Cav Lea,San   A  ,14497,user578371@email.com,1,25Mb,10,10.10.10.1,10.10.10.164,0:36:21:3,user_cavig,pass_1403,HWTCB1A8F020
1405,Luc Mar,R. V 18  ,24492,user984697@email.com,1,15Mb,10,10.10.10.1,10.10.13.183,0:50:19:39,user_lucer,pass_1405,HWTC6BE43EA0
1424,Luc Mar,Pte. 91  ,24108,user466981@email.com,1,25Mb,10,10.10.10.1,10.10.10.247,0:14:20:23,user_lucha,pass_1424,HWTC6B3F33B0
1430,Fel Mar,Gral 88  ,24227,user331531@email.com,1,25Mb,10,10.10.10.1,10.10.12.143,0:48:32:47,user_felic,pass_1430,HWTC6BE465E0
1433,Ech Fer,Belg 382 ,24045,user1083132@email.com,1,200Mb,10,10.10.10.1,10.10.12.65,0:12:42:28,user_echev,pass_riaf,HWTC6BE451B0
1450,Ric Lau,Alte 99  ,24144,user770893@email.com,1,25Mb,10,10.10.10.1,10.10.13.110,0:8:47:8,user_ricci,pass_1450,HWTCB1A8FE60
1456,Alv Jor,Alem 86  ,24103,user495830@email.com,1,25Mb,10,10.10.10.1,10.10.13.121,0:4:41:8,user_alvar,pass_1456,HWTCB1A90C50
1460,Ian Eva,Bo.  26  ,24099,user854555@email.com,1,25Mb,10,10.10.10.1,10.10.12.174,0:49:36:38,user_ianin,pass_1460,HWTC6B3F4440
1462,Ast Gui,Alsi 29  ,24074,user302738@email.com,1,25Mb,10,10.10.10.1,10.10.10.113,0:58:30:27,user_astiz,pass_1462,HWTCB1A90310
1470,Orl Myr,Sord 55  ,24418,user470662@email.com,1,15Mb,10,10.10.10.1,10.10.11.209,0:6:16:43,user_orlan,pass_1470,HWTC6BE46570
1478,Jee Jos,Bo.e 83  ,24056,user1158390@email.com,1,25Mb,10,10.10.10.1,10.10.11.7,0:33:24:58,user_jeeve,pass_1478,HWTC6BE482D0
1480,Gui Mar,Alem 53  ,24127,user679073@email.com,1,25Mb,10,10.10.10.1,10.10.12.184,0:40:29:59,user_guill,pass_1480,HWTCB1A92710
1484,Rod Rom,Alve o)  ,24233,user320636@email.com,1,50Mb,10,10.10.10.1,10.10.13.196,0:41:34:58,user_rodri,pass_1484,HWTC6B0EC130
1486,Cat Gri,Alem 590 ,24432,user1006259@email.com,1,25Mb,10,10.10.10.1,10.10.13.243,0:48:43:41,user_cattu,pass_1486,HWTC6B3F7F30
1487,Dis And,Bo.e 70  ,24320,user516067@email.com,1,25Mb,10,10.10.10.1,10.10.12.129,0:26:23:40,user_diste,pass_1487,HWTC6B0EB160
1488,Ris Ram,Bdo  40  ,24015,user1062612@email.com,1,25Mb,10,10.10.10.1,10.10.10.168,0:42:16:12,user_risso,pass_1488,HWTCB1A8FC10
1492,Riq Mig,Avel 86  ,24137,user919782@email.com,1,15Mb,10,10.10.10.1,10.10.10.57,0:30:5:38,user_rique,pass_1492,
1509,Gio Ant,25 D 80  ,24450,user559193@email.com,1,15Mb,10,10.10.10.1,10.10.12.197,0:24:14:13,user_gioia,pass_1509,HWTCB1A8FA50
1521,Lem Ber,Pte. 635 ,24109,user296118@email.com,1,25Mb,10,10.10.10.1,10.10.11.173,0:30:23:19,user_lemma,pass_1521,HWTC6B099D40
1567,Lem And,Bo.  .1  ,24178,user703040@email.com,1,25Mb,10,10.10.10.1,10.10.12.110,0:54:52:8,user_lemma,pass_1567,HWTC6BE45AF0
1570,Man Lau,Cons 96  ,24274,user1112348@email.com,1,50Mb,10,10.10.10.1,10.10.11.71,0:39:4:42,user_manto,pass_1570,HWTC6BE49FB0
1572,Sil Jua,Alve 06  ,24335,user815909@email.com,1,25Mb,10,10.10.10.1,10.10.13.224,0:7:48:21,user_silva,pass_1572,HWTCB1A909F0
1576,Sha Lui,Bo E  18 ,24459,user315981@email.com,1,25Mb,10,10.10.10.1,10.10.12.26,0:16:55:46,user_shamm,pass_1576,HWTCB1A91130
1611,Qui Mar,C.ma 24  ,24048,user1030529@email.com,1,25Mb,10,10.10.10.1,10.10.12.150,0:12:45:28,user_quini,pass_1611,HWTC6B3F7C90
1621,Vig Mar,Hip. 22  ,24263,user881915@email.com,1,25Mb,10,10.10.10.1,10.10.10.122,0:51:12:37,user_vigli,pass_1621,HWTC6B0F1A30
1628,Gui Las,Haro 77  ,24401,user318040@email.com,1,25Mb,10,10.10.10.1,10.10.13.49,0:7:22:37,user_guill,pass_1628,HWTCB1A8F640
1638,Rod Luc,Belg 69  ,24089,user877898@email.com,1,25Mb,10,10.10.10.1,10.10.12.24,0:37:19:47,user_rodri,pass_1638,HWTC6B3F5240
1649,Bia Cef,Carm 26  ,24112,user740462@email.com,1,25Mb,10,10.10.10.1,10.10.10.108,0:34:41:56,user_bianc,pass_1649,HWTC6B3F3830
1659,Ver Ana,Larr 14  ,24449,user1038082@email.com,1,25Mb,10,10.10.10.1,10.10.13.104,0:34:24:49,user_vera_,pass_1659,HWTCB1A8FE40
1680,Ggm Ggm,Riva 43  ,14341,user796860@email.com,1,25Mb,10,10.10.10.1,10.10.10.128,0:8:22:9,user_ggm_s,pass_1680,HWTCB1A90FE0
1681,Gal Car,Bo.p 12  ,14362,user331765@email.com,1,25Mb,10,10.10.10.1,10.10.13.50,0:47:52:21,user_galme,pass_1681,HWTC6B3F7930
1717,Lon Vir,Sarm 17  ,24182,user303782@email.com,1,50Mb,10,10.10.10.1,10.10.13.79,0:36:11:23,user_londa,pass_1717,HWTC6BE4B220
1721,Her Jor,Dorr 13  ,24470,user656318@email.com,1,50Mb,10,10.10.10.1,10.10.11.254,0:13:32:36,user_herre,pass_1721,HWTC6B0EAEF0
1726,Dec Adr,San  80  ,24144,user409127@email.com,1,25Mb,10,10.10.10.1,10.10.13.74,0:15:56:26,user_decun,pass_1726,HWTCB1A8F480
1738,Dag Rub,Bo P 19  ,24124,user966501@email.com,1,25Mb,10,10.10.10.1,10.10.12.170,0:45:51:26,user_dagos,pass_1738,HWTC6B3F7D00
1739,Mal Jos,Nica 57  ,24107,user739654@email.com,1,25Mb,10,10.10.10.1,10.10.11.37,0:35:56:14,user_malco,pass_1739,HWTC6BE46A10
1747,Men Cam,More to C,24450,user1177465@email.com,1,25Mb,10,10.10.10.1,10.10.10.122,0:2:25:1,user_mendi,pass_1747,HWTCB1A922E0
1773,Mor Leo,Carm 46  ,24104,user358839@email.com,1,15Mb,10,10.10.10.1,10.10.10.95,0:31:34:44,user_moral,pass_1773,HWTC6BE43590
1774,Ben Cec,Gral 04  ,24416,user1085918@email.com,1,15Mb,10,10.10.10.1,10.10.12.254,0:22:24:5,user_benag,pass_1774,HWTC6BE472F0
1778,Abe Nel,Cisn 37  ,24119,user563200@email.com,1,25Mb,10,10.10.10.1,10.10.12.38,0:43:18:8,user_abeli,pass_1778,HWTC6B3F4CD0
1787,Mol Vic,Sord 55  ,24323,user983057@email.com,1,25Mb,10,10.10.10.1,10.10.12.123,0:1:30:4,user_molin,pass_1787,HWTC6B3F81D0
1816,De  Luc,9 De 35  ,24310,user649498@email.com,1,50Mb,10,10.10.10.1,10.10.10.59,0:8:0:26,user_delos,pass_1816,HWTCB1A8FE50
1829,Pev Mau,Case 55  ,24206,user779350@email.com,1,25Mb,10,10.10.10.1,10.10.13.145,0:43:47:52,user_pever,pass_1829,HWTCB1A90CA0
1846,Rey Dan,Bo.e 22  ,24370,user694838@email.com,1,15Mb,10,10.10.10.1,10.10.12.124,0:7:44:54,user_rey_d,pass_1846,
1847,Bor Mar,More 463 ,24386,user1161218@email.com,1,25Mb,10,10.10.10.1,10.10.10.20,0:30:29:51,user_borde,pass_1847,HWTCB1A8F750
1869,Mar Pab,Bdo  79  ,24091,user528575@email.com,1,25Mb,10,10.10.10.1,10.10.11.15,0:41:42:0,user_march,pass_1869,HWTCB1A8F8A0
1884,Cal Fac,Las  536 ,24408,user963301@email.com,1,25Mb,10,10.10.10.1,10.10.13.204,0:1:48:56,user_calle,pass_1884,HWTCB1A8F4F0
1888,Ale Mau,Case 38  ,24239,user719703@email.com,1,25Mb,10,10.10.10.1,10.10.12.90,0:31:15:14,user_aleja,pass_1888,HWTCB1A90CE0
1931,Gen Mat,Alve 18  ,24386,user962912@email.com,1,25Mb,10,10.10.10.1,10.10.10.188,0:35:29:0,user_genus,pass_1931,HWTCB1A91F20
1947,Rus Ric,Case  1  ,24043,user918605@email.com,1,25Mb,10,10.10.10.1,10.10.13.233,0:49:38:9,user_russo,pass_1947,HWTCB1A8FD00
