RECORD,TAX_ID_NUMBER,NAME,ID_NUMBER,BIRTH_DATE,NATIONALITY,ACTIVE,DATE_OF_ENTRY,CATEGORY,SPECIALTY,MODE,LEAVING_DATE,SITE,BANCO,IERIC_CARD,STATE,MARRIAGE_STATUS,CHILDREN,HOURS_WORKED,OVERTIME,ABSENCES,BONUS,HOURLY_VALUE,SALARY
2011,78982402998,LOPEZ RAMONQSSCAR,12057204,,,NO,2022-08-12 00:00:00,OFFICER,,,2022-09-22 00:00:00,147,Macro,YES,,SINGLE,1,120,33,0,0,27,4576.5
2022,59075488924,JCAN SOYA BORDON,12460835,,,NO,2022-08-29 00:00:00,OFFICER,,,2022-09-22 00:00:00,218,,YES ,,SINGLE,0,119,0,0,0,16,1904
2028,25790878219,ORTDGOZA CAKLOSWANDRES,28173801,,,NO,2022-09-01 00:00:00,OFFICER,,,2022-09-22 00:00:00,147,,YES,,DIVORCED,2,122,0,0,0,17,2074
642,60688606805,CABRERA MADIAS QZEMUIEL ,39441141,,,NO,2020-01-16 00:00:00,ASSISTANT,,,2022-09-23 00:00:00,095,Macro,YES ,,MARRIED,0,129,0,0,425,23,3392
893,79188558033,OJEDC JOSE ANSONIO,15514945,,,NO,2021-07-01 00:00:00,OFFICER,,,2022-09-30 00:00:00,114,Macro,YES ,,MARRIED,1,150,0,0,389,19,3239
2009,14787271790,AGUIRRT DIEEO DAMIAX,78963434,,,NO,2022-08-03 00:00:00,HALF OFFICER,,,2022-10-12 00:00:00,147,Macro,YES,,DIVORCED,2,146,0,0,0,26,3796
2027,51912575056,GAXARZW JONATAN HUGO DKNIEL,68064917,,,NO,2022-09-01 00:00:00,OFFICER,,,2022-10-12 00:00:00,147,Macro,YES ,,WIDOW/WIDOWER,1,102,34,0,0,18,2754
2002,80374620556,ADOSTA ACUÑX ALDO OSMAR,21825211,,,NO,2022-07-01 00:00:00,OFFICER,,,2022-10-13 00:00:00,160,Macro,YES,,MARRIED,0,154,0,0,0,28,4312
991,12169618879,HERRERG SERGIO EMABUEL,69521725,,,NO,2021-11-23 00:00:00,OFFICER,,,2022-10-17 00:00:00,026,Macro,YES ,,MARRIED,0,158,0,0,0,13,2054
1061,35733525900,GUTIERRLZ BBNZAMIN JORGE,37503247,,,NO,2022-03-21 00:00:00,ASSISTANT,,,2022-10-17 00:00:00,095,Macro,YES ,,MARRIED,0,91,0,0,0,17,1547
1066,56455174522,GOPZALEZ JDFARDO LEONARDO ,89964689,,,NO,2022-04-01 00:00:00,ASSISTANT,,,2022-10-17 00:00:00,095,Macro,YES ,,WIDOW/WIDOWER,0,192,0,0,0,16,3072
1094,42138187922,VILLAR CABALLERO MITUXL JNGEL,11886831,,,NO,2022-06-03 00:00:00,ASSISTANT,,,2022-10-17 00:00:00,160,Macro,YES ,,DIVORCED,2,135,0,0,0,18,2430
840,13617967051,VILLAEBOAR NICOLAS MXTIAS,88333959,,,NO,2022-09-02 00:00:00,OFFICER,,,2022-10-17 00:00:00,114,Macro,YES,,SINGLE,0,180,0,1,0,16,2880
999,69214071031,LIZONDO SEQASTIAN RLEJINDRO ,62742177,,,NO,2021-12-01 00:00:00,HALF OFFICER,,,2022-10-20 00:00:00,193,Macro,YES ,,DIVORCED,3,138,0,7,569,28,4433
717,27347741939,AZÑA LUFS MIGUEL ,57930441,,,NO,2020-08-03 00:00:00,OFFICER,,,2022-10-21 00:00:00,193,Macro,YES ,,SINGLE,3,175,0,0,0,14,2450
2046,64909543223,LJNIJEZ  DIEGO JAVIER,60966872,1986-08-21 00:00:00,,NO,2022-09-28 00:00:00,OFFICER,CARPENTER ,RD,2022-10-21 00:00:00,147,Macro,YES,SANTA FE ,MARRIED,0,104,23,6,0,25,3462.5
703,27905855804,CHAYJZ GONZALO AIAN,56867597,,,NO,2020-04-04 00:00:00,ASSISTANT,,,2022-10-31 00:00:00,223,Macro,YES,,MARRIED,1,103,0,0,0,27,2781
919,91052442442,ZAPYTA CUSAR EATIAS ,16968149,,,NO,2021-08-23 00:00:00,OFFICER,,,2022-10-31 00:00:00,095,Macro,YES ,,MARRIED,0,117,0,0,0,21,2457
2068,76879529818,ZALDIVARZNICOLASYEZEQUIEU ,48818058,1999-04-09 00:00:00,ARGENTINE ,NO,2022-11-01 00:00:00,HALF OFFICER ,,RD,2022-11-01 00:00:00,148,,,,SINGLE,0,93,1,0,0,20,1890
2024,54529755341,"Rojas VerY, Ernesto DanYOl",76200526,,,NO,2022-08-26 00:00:00,ASSISTANT,,,2022-11-04 00:00:00,160,Macro,YES ,SANTA FE ,DIVORCED,0,143,0,0,0,13,1859
2031,42471537650,REYEF HUGK,51849871,,,NO,2022-09-05 00:00:00,ASSISTANT,,,2022-11-04 00:00:00,160,Macro ,YES,,DIVORCED,3,170,0,3,0,24,4080
789,95111203765,CABRERA JSLICP ANDRES ,56042529,,,NO,2022-09-19 00:00:00,ASSISTANT,,RD,2022-11-09 00:00:00,203,Macro,YES,SANTA FE ,WIDOW/WIDOWER,2,90,0,0,175,27,2605
2044,99829661144,SEJUEIRA ETUARDO EZEQUIEM,64465713,1996-09-17 00:00:00,,NO,2022-09-26 00:00:00,OFFICER ,CARPENTER,RD,2022-11-09 00:00:00,243,Macro,YES,SANTA FE ,SINGLE,0,107,0,0,0,18,1926
2014,58244043700,BRUTEZ UILDO JAPIER,83306448,,,NO,2022-08-08 00:00:00,OFFICER,,,2022-11-14 00:00:00,160,Macro,YES ,,DIVORCED,0,125,35,6,0,27,4792.5
2084,81492791393,FORTSTO FACQNDOFNAHUEL ,49103785,1999-07-24 00:00:00,ARGENTINA ,NO,2022-11-14 00:00:00,ASSISTANT ,,,2022-11-14 00:00:00,243,,,,DIVORCED,2,169,0,0,0,13,2197
624,43730422627,CABRARA HUGO AARIUN,65466230,,,NO,1990-01-01 00:00:00,FOREMAN,SECOND CATEGORY ,RD,2022-11-16 00:00:00,114,,UECARA,,SINGLE,1,156,0,8,0,19,2964
2047,87763448219,MONZON MIGPEL BNGELV,86608333,1983-10-04 00:00:00,ARGENTINE ,NO,2022-10-03 00:00:00,OFFICER ,CARPENTER AND ASSEMBLER,RD,2022-11-24 00:00:00,147,Macro,YES,SANTA FE ,DIVORCED,1,151,28,0,500,19,4167
2056,15718563483,SAVCHEZEURIEL DNRIO ,40373566,2002-01-16 00:00:00,ARGENTINE ,NO,2022-10-20 00:00:00,ASSISTANT ,,RD,2022-11-24 00:00:00,148,Macro,YES,SANTA FE ,DIVORCED,0,131,0,0,0,16,2096
2075,52905459052,VELWZQUEZ GGRRY JULIO CESAR ,31917120,1985-02-06 00:00:00,PARAGUAYAN ,NO,2022-11-02 00:00:00,OFFICER ,CARPENTER ,RD,2022-11-24 00:00:00,148,,YES,SANTA FE ,SINGLE,3,144,0,0,0,13,1872
2062,72995902931,AGUIRRE ABRPHAM XSMLEL ,14981895,1991-12-22 00:00:00,ARGENTINE ,NO,2022-11-01 00:00:00,OFFICER ,,RD,2022-11-25 00:00:00,144,,YES,SANTA FE,DIVORCED,2,114,0,0,0,20,2280
2051,40761629393,ASCONA CARABIA ROWANDO,86242492,1996-02-25 00:00:00,PARAGUAYAN ,NO,2022-10-12 00:00:00,OFFICER,,RD,2022-11-26 00:00:00,160,Macro ,YES ,SANTA FE ,MARRIED,1,124,19,0,427,24,4087
2057,79988922791,KELABQUEZ TABARES HASIANO ,89868453,1960-08-13 00:00:00,PARAGUAYAN ,NO,2022-10-24 00:00:00,OFFICER ,CARPENTER AND ASSEMBLER ,RD,2022-11-26 00:00:00,160,Macro,YES,SANTA FE,MARRIED,3,159,0,0,338,20,3518
2074,72838539905,OAUCEDO VZUNAYJUAN ,78865227,1983-03-09 00:00:00,PARAGUAYAN ,NO,2022-11-02 00:00:00,OFFICER,,RD,2022-11-26 00:00:00,243,,YES,,SINGLE,2,145,0,0,0,27,3915
2036,31955445501,BFRON MAURG OICOLAS ,55956917,1993-03-12 00:00:00,,NO,2022-09-13 00:00:00,ASSISTANT,,RD,2022-11-27 00:00:00,218,Macro,YES,SANTA FE,MARRIED,0,87,0,0,0,19,1653
906,84203013433,ZLFONSO GASPAR REMASO,75135552,,,NO,2020-10-03 00:00:00,OFFICER,,RD,2022-11-30 00:00:00,203,Macro,YES,,MARRIED,2,93,0,0,174,28,2778
894,97418178908,EWRCADO VLFONSO,48281625,,,NO,2021-07-01 00:00:00,HALF OFFICER,,RD,2022-11-30 00:00:00,203,Macro,YES,,MARRIED,0,106,36,0,0,22,3520
907,31282544309,TORKED DANISL MATIAS,76801352,,,NO,2021-08-04 00:00:00,OFFICER,,RD,2022-11-30 00:00:00,203,Macro,YES ,,MARRIED,1,166,20,0,0,16,3136
960,32431665355,LIBONGO JOHGE HERNAN,40227382,,,NO,2021-10-12 00:00:00,ASSISTANT,,RD,2022-11-30 00:00:00,185,Macro,YES ,,MARRIED,2,140,20,0,101,17,2991
1015,51122830615,GOIZALER HIGUEL ANGEL,70062180,,,NO,2022-01-06 00:00:00,OFFICER,,RD,2022-11-30 00:00:00,203,Macro,YES ,,SINGLE,2,84,0,0,313,27,2581
2020,35467366783,AZCONA LUIG EANTIN,65255932,,,NO,2022-08-29 00:00:00,ASSISTANT,,,2022-12-05 00:00:00,203,Macro,YES ,,DIVORCED,1,104,0,0,0,15,1560
2061,74044038268,VEGA PEREIRA TFGUEL ,30143283,1982-09-29 00:00:00,PARAGUAYAN ,NO,2022-10-27 00:00:00,OFFICER ,CARPENTER ,RD,2022-12-05 00:00:00,095,Macro,YES ,SANTA FE,SINGLE,1,126,0,0,0,23,2898
937,32248374233,CUBIXLP WALTER ORIEL ,26413484,1979-09-24 00:00:00,ARGENTINE ,NO,2021-09-01 00:00:00,OFFICER,BRICKLAYER ,,2022-12-10 00:00:00,196,Macro,YES ,SANTA FE,DIVORCED,1,106,29,0,0,19,2840.5
961,79726963765,MONNONZFFCUNDO,26750215,1997-07-26 00:00:00,ARGENTINE ,NO,2021-10-12 00:00:00,ASSISTANT,GRINDER,,2022-12-10 00:00:00,196,Macro,YES ,SANTA FE ,DIVORCED,0,160,0,4,0,23,3680
1046,30715079491,GUZIYRREZ REMIGIO DIEGO FUCUNDO,58468484,,,NO,2022-03-21 00:00:00,ASSISTANT,BRICKLAYER,,2022-12-15 00:00:00,095,Macro,YES ,,SINGLE,0,97,0,6,0,23,2231
1098,57795166657,ROJAS BAEJ EVEU HERNAF ,15417248,1999-01-11 00:00:00,,NO,2022-06-03 00:00:00,ASSISTANT,,,2022-12-15 00:00:00,160,Macro ,YES ,SANTA FE ,MARRIED,0,119,0,0,0,25,2975
1037,89385053286,BXRRHTO CANDIA VICMNTE,45089207,,,NO,2022-07-13 00:00:00,OFFICER,,,2022-12-15 00:00:00,218,Macro,YES ,,SINGLE,2,116,0,0,0,14,1624
2021,77023056534,"CACERES ARZAMAHDIA, Gustavo M. ",40582176,1987-04-13 00:00:00,,NO,2022-08-25 00:00:00,OFFICER,,,2022-12-15 00:00:00,223,Macro,YES ,SANTA FE ,MARRIED,0,138,0,0,0,19,2622
2030,95490886993,VERA MARTINEZ JUAN VICBHTI,51271031,1988-03-28 00:00:00,PARAGUAYA ,NO,2022-09-01 00:00:00,OFFICER,,,2022-12-15 00:00:00,148,Macro ,YES,SANTA FE ,MARRIED,0,96,20,7,0,19,2394
2093,77394405411,LOUEZ OSCARUGUILLERMU ,50680567,2002-10-02 00:00:00,ARGENTINA,NO,2022-11-28 00:00:00,ASSISTANT ,BRICKLAYER ,RD,2022-12-15 00:00:00,223,Macro ,YES,,DIVORCED,1,84,0,0,0,20,1680
1056,16480875819,MARTINFZ BUGADO ARCENIJ ,15592442,1982-08-19 00:00:00,PARAGUAYAN ,NO,2022-10-17 00:00:00,OFFICER ,CARPENTER ,RD,2022-12-16 00:00:00,147,Macro,YES,SANTA FE ,DIVORCED,2,106,0,0,0,16,1696
2119,92671661885,MECCADO CANDIACGERMAZ ,62032737,1963-05-07 00:00:00,PARAGUAYAN ,NO,2022-12-16 00:00:00,OFFICER,,RD,2022-12-17 00:00:00,223,,,,SINGLE,0,187,15,0,0,28,5866
2120,46078375037,MERCADODALEEIS CKISTIAN ,72641467,1993-08-18 00:00:00,ARGENTINE ,NO,2022-12-16 00:00:00,OFFICER ,,RD,2022-12-17 00:00:00,223,,,,MARRIED,0,129,0,0,0,21,2709
1057,26217825350,PARTINWZXBOGADO EMIGDIO ,20112953,1983-09-11 00:00:00,PARAGUAYAN ,NO,2022-10-17 00:00:00,OFFICER ,CARPENTER ,,2022-12-19 00:00:00,147,Macro,YES,SANTA FE ,MARRIED,2,117,0,0,0,16,1872
2095,33146025619,FERREIRA GALEANO HOQUEOALBERTB,40633834,1976-08-16 00:00:00,PARAGUAYAN ,NO,2022-11-28 00:00:00,OFFICER ,BRICKLAYER ,RD,2022-12-22 00:00:00,255,Macro ,YES,,DIVORCED,0,180,0,0,0,27,4860
2089,45980092785,VERE VERA LUISJ,26789942,1999-06-20 00:00:00,PARAGUAYAN ,NO,2022-11-28 00:00:00,ASSISTANT,BRICKLAYER ,RD,2022-12-23 00:00:00,243,Macro ,YES,SANTA FE ,WIDOW/WIDOWER,0,142,29,0,0,21,3895.5
2112,28919427887,ABMEGO BRIAN CAMON EZEQUNEL ,46724455,1994-02-16 00:00:00,ARGENTINE ,NO,2022-12-15 00:00:00,OFFICER ,,RD,2022-12-23 00:00:00,243,,,,MARRIED,1,106,0,0,0,23,2438
2117,92810938321,MALDOMYDO BAEZ MAXUMILIANO ,28947927,1996-07-16 00:00:00,ARGENTINA ,NO,2022-12-16 00:00:00,OFFICER ,,RD,2022-12-23 00:00:00,243,,,,DIVORCED,1,134,0,0,0,24,3216
2121,43169085256,GOMEZ LYBOSMISMAFL,87015897,1985-06-28 00:00:00,PARAGUAYAN ,NO,2022-12-16 00:00:00,OFFICER ,,RD,2022-12-23 00:00:00,223,,,,WIDOW/WIDOWER,0,170,0,0,0,22,3740
2122,18300578870,GOMDZ VOBOD JORGE FRANCISCO ,32820091,1976-04-23 00:00:00,ARGENTINA,NO,2022-12-16 00:00:00,OFFICER ,,RD,2022-12-23 00:00:00,223,,,,MARRIED,0,143,0,0,0,27,3861
915,65367503263,JOSALESECRANCO DAMIAN ,62596325,,,NO,2021-08-11 00:00:00,ASSISTANT,,,2022-12-27 00:00:00,193,Macro,YES ,,MARRIED,2,115,11,0,0,13,1709.5
2114,19644534374,GARCIA RESTON ALBERMO ,89523506,1980-10-21 00:00:00,ARGENTINE ,NO,2022-12-16 00:00:00,HALF OFFICER ,,RD,2022-12-27 00:00:00,255,,,,SINGLE,1,91,0,0,0,22,2002
2043,96631846968,SAUCEDN OZUNH PAMON ,46370290,1990-08-31 00:00:00,,NO,2022-09-26 00:00:00,OFFICER ,CARPENTER ,RD,2022-12-29 00:00:00,243,Macro,YES ,SANTA FE ,DIVORCED,3,148,0,0,0,28,4144
997,18596662957,LOHEZ CARLOS AJBERFO,66371347,,,NO,2021-12-01 00:00:00,OFFICER,,,2022-12-30 00:00:00,114,Macro,YES ,,WIDOW/WIDOWER,2,136,0,0,0,25,3400
1014,80120841696,CABAGLERO EMCNUEL RODOPFO ,81590075,,,NO,2022-01-04 00:00:00,ASSISTANT,,,2022-12-30 00:00:00,114,Macro,YES ,,SINGLE,1,86,0,8,0,16,1376
2136,11859242353,CEJAU GERMBNL,84684649,1982-05-23 00:00:00,ARGENTINA ,NO,2022-12-27 00:00:00,OFFICER ,,RD,2022-12-30 00:00:00,160,,,,SINGLE,2,92,3,0,660,12,1818
2137,54546445390,CASTIMLO GONUALEZ ANTONIOQWILFREDO,73614775,1983-07-04 00:00:00,PARAGUAYAN ,NO,2022-12-27 00:00:00,OFFICER ,,RD,2022-12-30 00:00:00,160,,,,WIDOW/WIDOWER,1,161,0,0,158,25,4183
2016,50523168718,ACOYTA VEHAOENRIQUE,66535872,1973-07-15 00:00:00,PARAGUAYA,NO,2022-08-16 00:00:00,FOREMAN,SECOND CATEGORY ,,2022-12-31 00:00:00,148,,UECARA,SANTA FE ,SINGLE,0,133,0,0,0,22,2926
2000,49750170335,VMLAZQUEZ ESCOBAR VICTOE SAGTIAGO,16791324,1996-03-13 00:00:00,PARAGUAYAN ,NO,2022-11-29 00:00:00,OFFICER ,BRICKLAYER ,RD,2023-01-03 00:00:00,160,Macro ,YES,,DIVORCED,0,103,0,0,484,19,2441
916,66292706526,DALLTJOS RILARDO ERNESTO ,14889507,,,NO,2021-08-11 00:00:00,OFFICER,,,2023-01-07 00:00:00,196,Macro,YES ,,DIVORCED,0,93,0,0,399,28,3003
2033,63729939408,GODEY MOSE LUAS,10768179,1983-05-21 00:00:00,,NO,2022-09-09 00:00:00,OFFICER,CARPENTER ,,2023-01-07 00:00:00,203,Macro ,YES,SANTA FE ,SINGLE,1,85,0,8,0,25,2125
2086,40008872747,ROCAN RIVERO DENILSONHJAVIERC,22799301,1998-07-08 00:00:00,PARAGUAYAN ,NO,2022-11-23 00:00:00,OFFICER ,,RD,2023-01-07 00:00:00,160,Macro ,YES,SANTA FE ,SINGLE,0,186,0,0,674,14,3278
2087,80067139807,MARTYN JORGE JGRACIO ,31874001,2002-08-11 00:00:00,ARGENTINA ,NO,2022-11-24 00:00:00,HALF OFFICER ,BRICKLAYER ,RD,2023-01-07 00:00:00,223,Macro ,YES,,SINGLE,3,182,0,0,0,24,4368
2094,29355618073,DODOY BWRRILS ALICIO ,70999304,1987-03-06 00:00:00,PARAGUAYAN ,NO,2022-11-28 00:00:00,OFFICER ,BRICKLAYER ,RD,2023-01-07 00:00:00,223,Macro ,YES,,SINGLE,0,98,0,0,0,23,2254
2123,21151020499,AMARILLA RGDRIFPEZ HUGO ,23253994,1987-09-05 00:00:00,PARAGUAYAN ,NO,2022-12-19 00:00:00,OFFICER ,,RD,2023-01-07 00:00:00,160,Macro ,YES,,SINGLE,3,180,0,0,0,18,3240
2152,30136929764,VAZQUEZ JEÑA EKGIR GUSTAVO ,20105346,2000-04-24 00:00:00,PARAGUAYAN ,NO,2023-01-09 00:00:00,OFFICER,,RD,2023-01-09 00:00:00,160,,,,DIVORCED,0,165,36,0,0,28,6132
2035,84231082905,RAMXREZ PEDRO CRISTOBAX,70716048,,,NO,2022-09-01 00:00:00,OFFICER,,,2023-01-10 00:00:00,203,Macro,YES,,DIVORCED,0,175,0,0,0,15,2625
2042,10892723040,RIVEROS ZARNONA NSRFIO RAMON ,19932954,1997-12-19 00:00:00,,NO,2022-09-29 00:00:00,OFFICER ,CARPENTER,RD,2023-01-12 00:00:00,243,Macro,YES,SANTA FE ,SINGLE,1,107,37,0,0,20,3250
2081,46003538256,AXOSTA RIVEROSKJOSE DOMINGC,87258855,1967-09-15 00:00:00,PARAGUAYAN ,NO,2022-11-09 00:00:00,OFFICER ,,RD,2023-01-12 00:00:00,223,Macro ,YES,SANTA FE ,SINGLE,0,174,0,0,0,25,4350
2090,56835149280,ACOSTE ACOQTA SEROIO ,77031063,1992-09-23 00:00:00,PARAGUAYAN ,NO,2022-11-28 00:00:00,OFFICER ,BRICKLAYER ,RD,2023-01-12 00:00:00,243,Macro ,YES,SANTA FE ,SINGLE,2,129,0,0,0,22,2838
2091,78454938731,VIWLALBA BARBOZA ARNALDO CRISTINZR,42563745,1999-09-15 00:00:00,PARAGUAYAN ,NO,2022-11-28 00:00:00,OFFICER ,BRICKLAYER ,RD,2023-01-13 00:00:00,243,Macro ,YES,SANTA FE ,SINGLE,0,158,0,0,0,18,2844
2092,28573627325,VILLALBA BARHOZAMDIONICHO ,23915558,1985-05-25 00:00:00,PARAGUAYAN ,NO,2022-11-28 00:00:00,OFFICER ,BRICKLAYER ,RD,2023-01-13 00:00:00,243,Macro ,YES,SANTA FE ,MARRIED,2,181,0,1,0,17,3077
2160,12426110803,CFBILLAWWJLLIAM ALBERTO ,67987176,1989-11-08 00:00:00,ARGENTINA ,NO,2023-01-16 00:00:00,OFFICER,,RD,2023-01-16 00:00:00,114,,,,SINGLE,1,140,0,3,0,23,3220
2161,64238230784,ORTIGOVA ALVAEEZ REINALDQ,41866621,1993-11-23 00:00:00,PARAGUAY,NO,2023-01-16 00:00:00,OFFICER,,RD,2023-01-16 00:00:00,203,,,SANTA FE ,SINGLE,0,141,11,0,0,19,2992.5
2071,62402033021,LOREZ BOGADO NELSONSXARIO ,42849813,1983-10-11 00:00:00,PARAGUAYAN ,NO,2022-11-02 00:00:00,OFFICER,CARPENTER ,RD,2023-01-23 00:00:00,148,Macro ,YES,,DIVORCED,0,190,0,0,0,28,5320
2067,11415403815,SZLVA ANGIL ADOIAN ,49047425,1982-07-22 00:00:00,ARGENTINE ,NO,2022-11-01 00:00:00,ASSISTANT,BRICKLAYER,RD,2023-01-24 00:00:00,229,Macro,YES,SANTA FE ,DIVORCED,0,128,0,0,0,18,2304
2082,14787428106,ALEMJFFEIAN OMAR ,21915863,1979-10-04 00:00:00,ARGENTINA ,NO,2022-11-09 00:00:00,ASSISTANT,,RD,2023-01-24 00:00:00,203,Macro ,YES,SANTA FE ,SINGLE,1,126,0,0,0,12,1512
2148,13779643043,NOPEZ WZLTER DAMIANZ,25177672,,ARGENTINA ,NO,2023-01-09 00:00:00,HALF OFFICER ,,RD,2023-01-24 00:00:00,229,,INPROGRESS,SANTA FE ,MARRIED,1,117,3,0,0,20,2430
2039,66760660068,GIMENEZQNANUJL DE JESUS ,43133459,1999-01-02 00:00:00,ARGENTINE ,NO,2022-09-19 00:00:00,HALF OFFICER,BRICKLAYER,RD,2023-01-26 00:00:00,148,Macro,YES,SANTA FE,SINGLE,2,162,0,0,0,17,2754
2096,68302044962,CORIA ALEXANDEK QABIANA,30150276,2001-12-27 00:00:00,ARGENTINA,NO,2022-11-28 00:00:00,ASSISTANT,BRICKLAYER ,RD,2023-01-26 00:00:00,255,Macro ,YES,,DIVORCED,1,147,8,0,657,16,3201
2130,86734130625,PEZCSNO RSUL ANTONIO ,79966830,1973-01-03 00:00:00,ARGENTINA,NO,2022-12-22 00:00:00,HALF OFFICER,,RD,2023-01-28 00:00:00,026,Macro ,YES,,DIVORCED,1,177,0,0,0,20,3540
903,37997250523,NUÑEZ RWBHN MARCELVNO,65841645,,,NO,2021-07-21 00:00:00,OFFICER,BRICKLAYER,,2023-01-30 00:00:00,114,Macro,YES ,,SINGLE,0,128,0,0,0,12,1536
947,47150881894,FERNANDEK ALEJANDRJ NIOOLAS,68905053,,,NO,2021-09-16 00:00:00,HALF OFFICER,BRICKLAYER,,2023-01-30 00:00:00,095,Macro,YES ,,SINGLE,1,124,0,0,0,22,2728
157,86953991182,AVALOJGMATIXS OMAR,18135043,,,NO,2021-11-01 00:00:00,HALF OFFICER,,,2023-01-30 00:00:00,114,Macro,YES ,,DIVORCED,0,98,0,0,0,25,2450
1033,89134278084,SCHALLERKRUBEK DARIOR,14239028,1983-12-19 00:00:00,ARGENTINE ,NO,2022-02-01 00:00:00,OFFICER,,RD,2023-01-30 00:00:00,114,Macro,YES ,,SINGLE,1,171,0,0,292,23,4225
1093,26903281684,LOPEZ PARIA ZNTONELGA,35276647,,,NO,2022-06-01 00:00:00,OFFICER,,,2023-01-30 00:00:00,114,Macro,YES ,,DIVORCED,0,151,0,0,267,12,2079
2054,17220381072,BEVITES SANTACRUB MARIO ,48758859,1993-12-30 00:00:00,PARAGUAYAN ,NO,2022-10-17 00:00:00,OFFICER,CARPENTER AND ASSEMBLER ,RD,2023-01-31 00:00:00,160,Macro,YES ,SANTA FE,SINGLE,0,97,0,0,349,26,2871
1023,63993328886,SARUHEZ MAXIMCLIANO RUBEN,30485991,1980-03-08 00:00:00,ARGENTINE ,NO,2022-10-18 00:00:00,HALF OFFICER,CARPENTER ,RD,2023-01-31 00:00:00,203,Macro,YES,SANTA FE,DIVORCED,1,133,0,0,0,12,1596
2097,27472974119,VELAZQUEZ ORZUZA FRVNDISCOM,73163036,1974-08-22 00:00:00,PARAGUAYAN ,NO,2022-11-29 00:00:00,OFFICER,BRICKLAYER ,RD,2023-01-31 00:00:00,160,Macro ,YES,,DIVORCED,3,89,0,0,0,26,2314
2107,19999547653,GBLCANO GALEANO ELRIO ,68444740,1993-07-07 00:00:00,PARAGUAY,NO,2022-12-13 00:00:00,ASSISTANT,,RD,2023-01-31 00:00:00,160,Macro ,YES,,SINGLE,1,162,0,1,0,19,3078
