Purchase date,Approved date,Released date,Counterpart email,Buyer document,Transaction description,Reference code,Mercadopago operation ID,Operation status,Operation status detail,Operation type,Transaction amount,Mercadopago fee,Third party marketplace fee,Shipping cost,Discount to your counterpart,Received amount,Installment,Payment type,Refunded amount,Refund operator,Claim ID,Chargeback ID,Marketplace,Online business sale number,Financing fee,Ticket number
30/11/2023 15:20,30/11/2023 15:20,18/12/2023 15:20,user4385Z@email.com,,Purchase in Mundo Tecno®️,rTBrF4Q0ApVw1f5bpeWJPb2SG,67708591031,approved,accredited,regular_payment,12900,-528.9,0,0,0,12319.5,1,debit_card,0,,,,NONE,13710308685,0,
30/11/2023 15:18,30/11/2023 15:18,18/12/2023 15:18,user2738G@email.com,,Purchase in Mundo Tecno®️,rji5MlvOm2eWMT2dTmm39Btgr,67894814052,approved,accredited,regular_payment,17000,-697,0,0,0,16235,1,account_money,0,,,,NONE,13710340017,0,
30/11/2023 15:17,30/11/2023 15:17,18/12/2023 15:17,user5055E@email.com,CUIT 2016347,Purchase in Mundo Tecno®️,rtUZxYQrmY5JlwqAdf60aPxyc,67708461085,approved,accredited,regular_payment,7500,-307.5,0,0,0,7050,1,account_money,0,,,,NONE,13710336133,0,
30/11/2023 15:10,30/11/2023 15:10,18/12/2023 15:10,user4337C@email.com,,Purchase in Mundo Tecno®️,rX3er7hDgmRqGHXqLVAV1xOmi,67894540590,approved,accredited,regular_payment,7500,-307.5,0,0,0,7050,1,account_money,0,,,,NONE,13713788350,0,
30/11/2023 15:09,30/11/2023 15:10,18/12/2023 15:10,user5948W@email.com,,Purchase in Mundo Tecno®️,rMak6xMNevUb3rGIreXhOMone,67708056355,approved,accredited,regular_payment,19900,-815.9,0,0,0,18109,1,credit_card,0,,,,NONE,13710109639,0,
30/11/2023 15:08,30/11/2023 15:08,18/12/2023 15:08,user2396H@email.com,,Purchase in Mundo Tecno®️,rTIBTkeo36PPiSu7vVG90jmVe,67707928507,approved,accredited,regular_payment,12814,-525.37,0,0,0,12237.37,1,credit_card,0,,,,NONE,13710067579,0,
30/11/2023 14:54,,,user2354U@email.com,,Purchase in Mundo Tecno®️,ryzZRWXWBWITVZg6HRcpULzPS,67893605144,rejected,cc_rejected_insufficient_amount,regular_payment,29000,0,0,0,0,0,1,credit_card,0,,,,NONE,13713373464,0,
30/11/2023 14:42,30/11/2023 14:42,18/12/2023 14:42,user7408R@email.com,,Purchase in Mundo Tecno®️,r79c1JkyPCqh7TG1uj69m8NT7,67706509079,approved,accredited,regular_payment,29000,-1189,0,0,0,27695,1,credit_card,0,,,,NONE,13713046252,0,
30/11/2023 14:37,30/11/2023 14:38,18/12/2023 14:38,user5537K@email.com,,Purchase in Mundo Tecno®️,rDOr2h1NhE2cL2hAfjglSTH0c,67892688998,approved,accredited,regular_payment,6900,-282.9,0,0,0,6451.5,1,debit_card,0,,,,NONE,13712961014,0,
30/11/2023 14:23,30/11/2023 14:23,18/12/2023 14:23,user1114Z@email.com,,Purchase in Mundo Tecno®️,rhGm4hmFguSnNKn3lzUo8Y4dQ,67891982252,approved,accredited,regular_payment,6900,-282.9,0,0,0,6451.5,1,credit_card,0,,,,NONE,13712562980,0,
30/11/2023 14:04,30/11/2023 14:04,18/12/2023 14:04,user5742D@email.com,CUIT 2008148,Purchase in Mundo Tecno®️,r4KKUP1Scg3eAyvi4fAHRUcf1,67704219623,approved,accredited,regular_payment,12900,-528.9,0,0,0,12126,1,account_money,0,,,,NONE,13708431033,0,
30/11/2023 13:58,30/11/2023 13:58,18/12/2023 13:58,user3017B@email.com,CUIT 2717181,Purchase in Mundo Tecno®️,ruFsIT7B1bRvmLXJOSag1FSq2,67890494474,approved,accredited,regular_payment,20000,-820,0,0,0,18200,1,account_money,0,,,,NONE,13708264653,0,
30/11/2023 13:22,30/11/2023 13:22,18/12/2023 13:22,user4428S@email.com,CUIL 2012070,Purchase in Mundo Tecno®️,rqA6vPm5cnXU4EJhSu6a2hdqI,67701525491,approved,accredited,regular_payment,12900,-528.9,0,0,0,12319.5,1,credit_card,0,,,,NONE,13707188667,0,
30/11/2023 12:46,30/11/2023 12:46,18/12/2023 12:46,user7032O@email.com,CUIT 2029542,Purchase in Mundo Tecno®️,rgoWGfGr2Pq4PXYPHwcTFlbmV,67885403982,approved,accredited,regular_payment,7500,-307.5,0,0,0,7162.5,1,credit_card,0,,,,NONE,13706030919,0,
30/11/2023 12:03,30/11/2023 12:03,18/12/2023 12:03,user1373Q@email.com,,Purchase in Mundo Tecno®️,rYDb9Ao0vuPuf5lwXB6YM6u4O,67695940897,approved,accredited,regular_payment,22500,-922.5,0,0,0,21037.5,1,credit_card,0,,,,NONE,13704591523,0,
30/11/2023 11:21,30/11/2023 11:21,18/12/2023 11:21,user1130M@email.com,,Purchase in Mundo Tecno®️,rlIZVOWbKnkQcJP4A9N9WLEsM,67693014347,approved,accredited,regular_payment,6900,-282.9,0,0,0,6486,1,credit_card,0,,,,NONE,13706886278,0,
30/11/2023 11:07,30/11/2023 11:07,18/12/2023 11:07,user1391C@email.com,,Purchase in Mundo Tecno®️,raN8b9whdqBF5TPuMoRjEfhAL,67878528384,approved,accredited,regular_payment,6900,-282.9,0,0,0,6451.5,1,account_money,0,,,,NONE,13706515034,0,
30/11/2023 11:07,30/11/2023 11:07,18/12/2023 11:07,user9918S@email.com,CUIL 2711607,Purchase in Mundo Tecno®️,rLcnAofczYB0DcPhTrY33gElH,67692021659,approved,accredited,regular_payment,12900,-528.9,0,0,0,12319.5,1,account_money,0,,,,NONE,13702878955,0,
30/11/2023 10:59,30/11/2023 10:59,18/12/2023 10:59,user3740R@email.com,CUIL 2711607,Purchase in Mundo Tecno®️,rjz0GtFoCo7KNkl53hpMyQHsM,67878088440,approved,accredited,regular_payment,12900,-528.9,0,0,0,12319.5,1,debit_card,0,,,,NONE,13702650919,0,
30/11/2023 10:46,30/11/2023 10:46,18/12/2023 10:46,user3540R@email.com,,Purchase in Mundo Tecno®️,rNrTkOBwtHc4PKO89rtpHiFEk,67877170122,approved,accredited,regular_payment,19990,-819.59,0,0,0,19090.45,1,credit_card,0,,,,NONE,13702275479,0,
30/11/2023 10:43,30/11/2023 10:43,18/12/2023 10:43,user5187W@email.com,CUIT 3071608,Purchase in Mundo Tecno®️,rv8SFJiADXukc8nEnYY1ltkZ2,67690485759,approved,accredited,regular_payment,17000,-697,0,0,0,16235,1,debit_card,0,,,,NONE,13702212167,0,
30/11/2023 10:31,,,user3744V@email.com,CUIL 2337028,Purchase in Mundo Tecno®️,rHxSEYgLdEf6pyxt5o2K6ooQZ,67876212392,rejected,cc_rejected_high_risk,regular_payment,12500,0,0,0,0,0,3,credit_card,0,,,,NONE,13705511664,0,
30/11/2023 10:19,30/11/2023 10:19,18/12/2023 10:19,user6612C@email.com,,Purchase in Mundo Tecno®️,rGcbXx3DiNAkl6Y128BX2T9tL,67689037559,approved,accredited,regular_payment,7500,-307.5,0,0,0,7050,1,account_money,0,,,,NONE,13701564511,0,
30/11/2023 10:16,30/11/2023 10:16,18/12/2023 10:16,user2363G@email.com,,Purchase in Mundo Tecno®️,r7zXJlSMTtdXpfkj4lTTj0I5Y,67875307356,approved,accredited,regular_payment,24900,-1020.9,0,0,0,23779.5,1,account_money,0,,,,NONE,13701500581,0,
30/11/2023 9:54,30/11/2023 9:54,18/12/2023 9:54,user2271Z@email.com,,Purchase in Mundo Tecno®️,rVdCD7qYw1i2F4pXZWDIYGUF8,67687686799,approved,accredited,regular_payment,7500,-307.5,0,0,0,7050,1,credit_card,0,,,,NONE,13700929717,0,
30/11/2023 9:49,30/11/2023 9:49,18/12/2023 9:49,user2418S@email.com,CUIT 2007575,Purchase in Mundo Tecno®️,r9JzDuEcYsspLe6ziUvKG2NVQ,67873627302,approved,accredited,regular_payment,19500,-799.5,0,0,0,18330,1,credit_card,0,,,,NONE,13704461830,0,
30/11/2023 9:29,30/11/2023 9:29,18/12/2023 9:29,user5184X@email.com,,Purchase in Mundo Tecno®️,r96tjZA3T194Icwa5MLcHficq,67686380195,approved,accredited,regular_payment,12900,-528.9,0,0,0,12061.5,1,credit_card,0,,,,NONE,13703988840,0,
30/11/2023 8:58,30/11/2023 8:58,18/12/2023 8:58,user1986I@email.com,,Purchase in Mundo Tecno®️,rZ9q5dmkIpdfK5x8Q1U6h7aN7,67684840227,approved,accredited,regular_payment,29000,-1189,0,0,0,27115,1,credit_card,0,,,,NONE,13699725649,0,
30/11/2023 8:54,30/11/2023 8:54,18/12/2023 8:54,user8428G@email.com,,Purchase in Mundo Tecno®️,rG8KYs96bxAVyVJjF4qpHGDe9,67870862568,approved,accredited,regular_payment,19900,-815.9,0,0,0,18606.5,1,credit_card,0,,,,NONE,13703280560,0,
30/11/2023 8:53,30/11/2023 8:53,18/12/2023 8:53,user3713Z@email.com,,Purchase in Mundo Tecno®️,r5wLF08SMDexlEI5AGIZ8wh2B,67870802456,approved,accredited,regular_payment,19500,-799.5,0,0,0,18232.5,1,debit_card,0,,,,NONE,13703256498,0,
30/11/2023 8:40,30/11/2023 8:40,18/12/2023 8:40,user4715X@email.com,CUIT 2704519,Purchase in Mundo Tecno®️,rOXzKZf8EWTsOzuuTRI8CJSnD,67870337002,approved,accredited,regular_payment,6900,-282.9,0,0,0,6279,1,debit_card,0,,,,NONE,13703019892,0,
30/11/2023 8:30,30/11/2023 8:30,18/12/2023 8:30,user2021S@email.com,,Purchase in Mundo Tecno®️,r31wElvqOJKwnzr13OXX1T2II,67869906538,approved,accredited,regular_payment,20400,-836.4,0,0,0,19176,1,account_money,0,,,,NONE,13699218203,0,
30/11/2023 8:30,30/11/2023 8:30,18/12/2023 8:30,user5091Z@email.com,,Purchase in Mundo Tecno®️,rzrrFTbafgD5T9HKecrmCk1Af,67683754313,approved,accredited,regular_payment,19500,-799.5,0,0,0,18232.5,1,credit_card,0,,,,NONE,13699230077,0,
30/11/2023 8:15,30/11/2023 8:15,18/12/2023 8:15,user7292B@email.com,,Purchase in Mundo Tecno®️,rlFbsKuRfhO875FAFrcvT8nqf,67869464622,approved,accredited,regular_payment,12500,-512.5,0,0,0,11937.5,1,credit_card,0,,,,NONE,13698989325,0,
30/11/2023 8:07,30/11/2023 8:07,18/12/2023 8:07,user6271Q@email.com,,Purchase in Mundo Tecno®️,rQERmh3OTdnW2McVDhXon4vqE,67682781749,approved,accredited,regular_payment,19900,-815.9,0,0,0,18606.5,1,debit_card,0,,,,NONE,13702488626,0,
30/11/2023 8:06,30/11/2023 8:06,18/12/2023 8:06,user2877W@email.com,,Purchase in Mundo Tecno®️,rlj32cQhn0f7J2Kv3fXGjVX60,67869084358,approved,accredited,regular_payment,19500,-799.5,0,0,0,18232.5,1,debit_card,0,,,,NONE,13698850623,0,
30/11/2023 7:18,30/11/2023 7:18,18/12/2023 7:18,user9699V@email.com,,Purchase in Mundo Tecno®️,racs3w3sYZSsBLQjuieIdHcyn,67681396955,approved,accredited,regular_payment,20400,-836.4,0,0,0,19482,1,credit_card,0,,,,NONE,13698265911,0,
30/11/2023 6:47,30/11/2023 6:47,18/12/2023 6:47,user1891R@email.com,,Purchase in Mundo Tecno®️,rUkr6wzpLqDHCffr8HbJpIfaf,67867001414,approved,accredited,regular_payment,14875,-609.88,0,0,0,13908.12,1,credit_card,0,,,,NONE,13698004155,0,
30/11/2023 1:05,30/11/2023 1:05,18/12/2023 1:05,user3727D@email.com,,Purchase in Mundo Tecno®️,rQvtWfWBNo76fFPCGbJ1ddFTV,67863990184,approved,accredited,regular_payment,29000,-1189,0,0,0,27695,1,credit_card,0,,,,NONE,13696904883,0,
30/11/2023 0:33,30/11/2023 0:33,18/12/2023 0:33,user7865W@email.com,CUIL 2722571,Purchase in Mundo Tecno®️,rl1hZ5wXVsLjVeNT4GuE3z9FP,67677158813,approved,accredited,regular_payment,9500,-389.5,0,0,0,9072.5,1,account_money,0,,,,NONE,13696675307,0,
30/11/2023 0:29,30/11/2023 0:29,18/12/2023 0:29,user8445J@email.com,,Purchase in Mundo Tecno®️,rl1hZ5wXVsLjVeNT4GuE3z9FP,67676987647,approved,accredited,regular_payment,9500,-389.5,0,0,0,9072.5,1,account_money,0,,,,NONE,13700258794,0,
30/11/2023 0:07,30/11/2023 0:07,18/12/2023 0:07,user1175K@email.com,,Purchase in Mundo Tecno®️,ruxDBihlbNOFx7iAXOgY37XQQ,67862764654,approved,accredited,regular_payment,19900,-815.9,0,0,0,18507,1,account_money,0,,,,NONE,13700035058,0,
29/11/2023 23:49,29/11/2023 23:49,17/12/2023 23:49,user2771O@email.com,,Purchase in Mundo Tecno®️,rf22q4kA1KNOKEjvmpVL6Oh7S,67862224800,approved,accredited,regular_payment,9500,-389.5,0,0,0,8882.5,1,account_money,0,,,,NONE,13696207983,0,
29/11/2023 23:30,29/11/2023 23:30,17/12/2023 23:30,user7043J@email.com,CUIT 2714708,Purchase in Mundo Tecno®️,rPFr92tQc2qI6yA7BBMJarIzL,67861816388,approved,accredited,regular_payment,19000,-779,0,0,0,17860,1,debit_card,0,,,,NONE,13695966583,0,
29/11/2023 23:23,29/11/2023 23:23,17/12/2023 23:23,user1675F@email.com,,Purchase in Mundo Tecno®️,r3XKn8W1pDMYWGEpLcb3QT7ex,67675292173,approved,accredited,regular_payment,6900,-282.9,0,0,0,6589.5,1,debit_card,0,,,,NONE,13699481782,0,
29/11/2023 23:22,29/11/2023 23:22,17/12/2023 23:22,user7538E@email.com,,Purchase in Mundo Tecno®️,rP9AjEj5vQQeE6TBLAhZqOIWw,67861566522,approved,accredited,regular_payment,29000,-1189,0,0,0,27695,1,debit_card,0,,,,NONE,13699470982,0,
29/11/2023 22:56,29/11/2023 22:56,17/12/2023 22:56,user9600K@email.com,,Purchase in Mundo Tecno®️,rKUnMS9Zgz3aVUTHSz33NZmRH,67674404919,approved,accredited,regular_payment,9500,-389.5,0,0,0,8882.5,3,credit_card,0,,,,NONE,13699049964,0,
29/11/2023 22:08,29/11/2023 22:08,17/12/2023 22:08,user8282Y@email.com,,Purchase in Mundo Tecno®️,rhtCpxHbz4yGyzrbE78frI309,67858655518,approved,accredited,regular_payment,9500,-389.5,0,0,0,8930,1,account_money,0,,,,NONE,13694516855,0,
29/11/2023 22:07,29/11/2023 22:07,17/12/2023 22:07,user1138E@email.com,,Purchase in Mundo Tecno®️,rCXu0nqyntWI4O8ozTKSCGBzQ,67858708480,approved,accredited,regular_payment,6900,-282.9,0,0,0,6451.5,1,credit_card,0,,,,NONE,13698131356,0,
29/11/2023 21:54,29/11/2023 21:54,17/12/2023 21:54,user7230Z@email.com,,Purchase in Mundo Tecno®️,rwu283NPOJ21WwwiBMJxZuMcl,67858081524,approved,accredited,regular_payment,9500,-389.5,0,0,0,9072.5,1,debit_card,0,,,,NONE,13694225815,0,
29/11/2023 21:31,,,user6202P@email.com,CUIL 2324238,Purchase in Mundo Tecno®️,rkhVHWOz7Tz38ben6Od98qCPS,67856935588,pending,pending_waiting_payment,regular_payment,19000,0,0,0,0,0,1,ticket,0,,,,NONE,13693712417,0,
29/11/2023 21:21,29/11/2023 21:21,17/12/2023 21:21,user8578S@email.com,,Purchase in Mundo Tecno®️,ruoJwSzR49sz0yL0xmF0OFLh7,67670208311,approved,accredited,regular_payment,12900,-528.9,0,0,0,12319.5,1,credit_card,0,,,,NONE,13693437853,0,
29/11/2023 21:01,29/11/2023 21:01,17/12/2023 21:01,user8524V@email.com,,Purchase in Mundo Tecno®️,ragsRNRpff28TCs3Fbuhvd9vv,67669266347,approved,accredited,regular_payment,9500,-389.5,0,0,0,9072.5,1,account_money,0,,,,NONE,13692939637,0,
29/11/2023 19:58,29/11/2023 19:58,17/12/2023 19:58,user5046C@email.com,,Purchase in Mundo Tecno®️,rsNt5NnOUkAr28hBDYY8rnPsO,67851671534,approved,accredited,regular_payment,29000,-1189,0,0,0,26245,1,credit_card,0,,,,NONE,13691129363,0,
29/11/2023 19:47,29/11/2023 19:47,17/12/2023 19:47,user7150C@email.com,,Purchase in Mundo Tecno®️,rjW26W83qDgvUHr0EttXpd4BZ,67851066378,approved,accredited,regular_payment,24900,-1020.9,0,0,0,23281.5,1,credit_card,0,,,,NONE,13694453046,0,
29/11/2023 19:44,29/11/2023 19:44,17/12/2023 19:44,user2217D@email.com,,Purchase in Mundo Tecno®️,r2aKkLWt61HAUNHEPzH15DoJe,67850771452,approved,accredited,regular_payment,25490,-1045.09,0,0,0,23960.6,1,credit_card,0,,,,NONE,13694328692,0,
29/11/2023 19:43,29/11/2023 19:43,17/12/2023 19:43,user4417B@email.com,,Purchase in Mundo Tecno®️,rgLUUM0xRnORsGN3jekzG4jyq,67850755052,approved,accredited,regular_payment,25000,-1025,0,0,0,23875,1,account_money,0,,,,NONE,13694315888,0,
29/11/2023 19:21,29/11/2023 19:22,17/12/2023 19:22,user2434M@email.com,,Purchase in Mundo Tecno®️,rEAwocWJORdvKXEjsmRsTIKYW,67849523122,approved,accredited,regular_payment,6900,-282.9,0,0,0,6451.5,1,debit_card,0,,,,NONE,13690073281,0,
29/11/2023 19:13,29/11/2023 19:14,17/12/2023 19:14,user8910C@email.com,,Purchase in Mundo Tecno®️,ruU8Awxg9ssiMvOzC0JxlgmRf,67848994254,approved,accredited,regular_payment,19500,-799.5,0,0,0,18232.5,1,debit_card,0,,,,NONE,13693446616,0,
29/11/2023 18:53,29/11/2023 18:53,17/12/2023 18:53,user8649G@email.com,CUIT 2720421,Purchase in Mundo Tecno®️,rGwJswgUViNrhEnP50TglQ7xG,67847633866,approved,accredited,regular_payment,7500,-307.5,0,0,0,6825,1,credit_card,0,,,,NONE,13692825566,0,
29/11/2023 18:16,29/11/2023 18:16,17/12/2023 18:16,user5516A@email.com,,Purchase in Mundo Tecno®️,rzN01LlNRk0XP81dtWcnOjBSl,67845392684,approved,accredited,regular_payment,7500,-307.5,0,0,0,7012.5,1,debit_card,0,,,,NONE,13688089171,0,
29/11/2023 17:36,29/11/2023 17:36,17/12/2023 17:36,user1419X@email.com,CUIT 2329033,Purchase in Mundo Tecno®️,rWrfTQwc6KaD1MAx0ZjKgZwZG,67656621131,approved,accredited,regular_payment,9500,-389.5,0,0,0,8930,1,debit_card,0,,,,NONE,13686931473,0,
29/11/2023 17:35,29/11/2023 17:35,17/12/2023 17:35,user4888B@email.com,,Purchase in Mundo Tecno®️,rqRHz8CiOCouNgfQRHho1ZQgd,67656497661,approved,accredited,regular_payment,19000,-779,0,0,0,17860,1,digital_currency,0,,,,NONE,13690446730,0,
29/11/2023 17:33,29/11/2023 17:33,17/12/2023 17:33,user1203L@email.com,,Purchase in Mundo Tecno®️,rfnRjjO1IGkjJ3L6WrInmZC8j,67656377731,approved,accredited,regular_payment,9500,-389.5,0,0,0,8882.5,1,debit_card,0,,,,NONE,13690446504,0,
29/11/2023 17:13,29/11/2023 17:14,17/12/2023 17:14,user1732K@email.com,,Purchase in Mundo Tecno®️,rTG0BB6HnIwXrqDUriSpST3dR,67841425642,approved,accredited,regular_payment,19000,-779,0,0,0,17765,1,credit_card,0,,,,NONE,13686299059,0,
29/11/2023 17:12,29/11/2023 17:12,17/12/2023 17:12,user1373J@email.com,,Purchase in Mundo Tecno®️,rbMPH2NJTnhwoCQ7D7CkaqaIm,67841313750,approved,accredited,regular_payment,30400,-1246.4,0,0,0,29032,1,account_money,0,,,,NONE,13686232999,0,
29/11/2023 17:06,29/11/2023 17:06,17/12/2023 17:06,user7327L@email.com,,Purchase in Mundo Tecno®️,raIkACKBWsITBSDSCTMVwECBo,67841035212,approved,accredited,regular_payment,29000,-1189,0,0,0,27115,1,debit_card,0,,,,NONE,13686115897,0,
29/11/2023 16:59,29/11/2023 17:00,17/12/2023 17:00,user9885D@email.com,,Purchase in Mundo Tecno®️,rbffMhmLWn2le3yCvGBP96rzK,67840658972,approved,accredited,regular_payment,9500,-389.5,0,0,0,8835,1,credit_card,0,,,,NONE,13689558166,0,
29/11/2023 16:53,29/11/2023 16:53,17/12/2023 16:53,user6256V@email.com,,Purchase in Mundo Tecno®️,rV2tPILmUWyTvuf0LB17SNtbh,67840274640,approved,accredited,regular_payment,9500,-389.5,0,0,0,9072.5,1,debit_card,0,,,,NONE,13685764127,0,
29/11/2023 16:43,29/11/2023 16:43,17/12/2023 16:43,user7072N@email.com,,Purchase in Mundo Tecno®️,rLbL5SvYBz8zMlO2iQPZVHkjY,67839691906,approved,accredited,regular_payment,7500,-307.5,0,0,0,7162.5,1,credit_card,0,,,,NONE,13689157212,0,
29/11/2023 16:33,29/11/2023 16:33,17/12/2023 16:33,user6606H@email.com,,Purchase in Mundo Tecno®️,r9SdQbEK6TNRNeo42sGeI4Eii,67839223066,approved,accredited,regular_payment,9500,-389.5,0,0,0,9072.5,1,debit_card,0,,,,NONE,13685294633,0,
29/11/2023 16:11,29/11/2023 16:11,17/12/2023 16:11,user1620M@email.com,CUIT 2028387,Purchase in Mundo Tecno®️,r2I2j20trGaODbbmrqioMoUPe,67652040331,approved,accredited,regular_payment,12900,-528.9,0,0,0,12126,1,account_money,0,,,,NONE,13688404956,0,
