GARDEN,SERVICE DATE,INVOICE NUMBER,PROFIT,TOTAL INV.,TOTAL COST,ASSOC COSTS + SUBS,CREW,COST OF BIZ,BUISNESS MANAGER,OWNER DRAWS,,,,,,,QB numbers
Sophia,6/13/2023,234070,$354.50,"$1,520.00","$1,165.50",$0.00,$633.50,$152.00,$152.00,$228.00,,,,,,,
Sophia,6/14/2023,234071,$448.80,"$2,400","$1,951.20",$679.20,$432.00,$240.00,$240.00,$360.00,,,,,,,
Patrick,6/19/2023,234073,$603.50,"$1,750.00","$1,146.50",,$534.00,$175.00,$175.00,$262.50,,,,,,,
Sophia,6/19/2023,234072,$162.50,"$1,350","$1,187.50",$350.00,$365.00,$135.00,$135.00,$202.50,,,,,,,
Taylor,6/19/2023,234074,$115.00,"$2,700","$2,585.00",$800.00,$840.00,$270.00,$270.00,$405.00,,,,,,,
Jessica,6/22/2023,234077,$667.77,"$3,050","$2,382.23",$898.73,$416.00,$305.00,$305.00,$457.50,,,,,,,
Patrick,6/25/2023,234079,$894.19,"$3,000","$2,105.81",$455.81,$600.00,$300.00,$300.00,$450.00,,,,,,,
Gina,6/26/2023,234080,$47.50,$800,$752.50,$50.00,$422.50,$80.00,$80.00,$120.00,,,,,,,
Jessica,6/26/2023,234100,$58.12,"$2,100.00","$2,041.88",$716.88,$590.00,$210.00,$210.00,$315.00,,,,,,,
Jim,6/26/2023,234084,$371.00,"$1,500","$1,129.00",$0.00,$604.00,$150.00,$150.00,$225.00,,,,,,,
Grace,6/28/2023,234105,$129.00,$950,$821.00,$120.00,$368.50,$95.00,$95.00,$142.50,,,,,,,
Thomas,6/30/2023,234112,$37.90,$600,$562.10,$72.10,$280.00,$60.00,$60.00,$90.00,,,,,,,
Grace,7/3/2023,234120,$214.50,$750,$535.50,$0.00,$273.00,$75.00,$75.00,$112.50,,,,,,,
Jim,7/3/2023,234005,$341.10,"$2,050","$1,708.90",$96.40,$895.00,$205.00,$205.00,$307.50,,,,,,,
Sophia,7/3/2023,234123,$354.50,"$1,520.00","$1,165.50",$0.00,$633.50,$152.00,$152.00,$228.00,,,,,,,
Robert,7/6/2023,234006,-$225.00,$500.00,$725.00,$550.00,$0.00,$50.00,$50.00,$75.00,,,,,,,
Alice,7/7/2023,234008,$44.00,"$1,200.00","$1,156.00",$320.00,$416.00,$120.00,$120.00,$180.00,,,,,,,
Melissa,7/7/2023,234009,$630.00,"$1,800.00","$1,170.00",$180.00,$360.00,$180.00,$180.00,$270.00,,,,,,,
Thomas,7/10/2023,234010,$129.00,$950,$821.00,$120.00,$368.50,$95.00,$95.00,$142.50,,,,,,,
Jessica,7/13/2023,234011,$213.09,"$1,150",$936.91,$378.41,$156.00,$115.00,$115.00,$172.50,,,,,,,
Daniel,7/16/2023,234012,$249.29,"$1,300","$1,050.71",$134.21,$461.50,$130.00,$130.00,$195.00,,,,,,,
Gina,7/17/2023,234019,$20.00,"$2,300","$2,280.00",$450.00,"$1,025.00",$230.00,$230.00,$345.00,,,,,,,
Grace,7/17/2023,234013,$371.00,"$1,500","$1,129.00",$0.00,$604.00,$150.00,$150.00,$225.00,,,,,,,
Jim,7/17/2023,234015,$368.20,"$1,350",$981.80,$62.80,$446.50,$135.00,$135.00,$202.50,,,,,,,
Vincent,7/18/2023,234024,$124.00,"$1,600","$1,476.00",$500.00,$416.00,$160.00,$160.00,$240.00,,,,,,,
Grace,7/20/2023,234025,$430.50,"$1,100",$669.50,$70.00,$214.50,$110.00,$110.00,$165.00,,,,,,,
Taylor,7/20/2023,234027,$413.00,"$1,500","$1,087.00",$0.00,$562.00,$150.00,$150.00,$225.00,,,,,,,
Emily,7/23/2023,234028,$424.50,"$1,750","$1,325.50",$0.00,$713.00,$175.00,$175.00,$262.50,,,,,,,
Jessica,7/23/2023,234028,$62.80,"$1,900","$1,837.20",$812.20,$360.00,$190.00,$190.00,$285.00,,,,,,,
Betty,7/24/2023,234029,$82.00,$950,$868.00,$300.00,$235.50,$95.00,$95.00,$142.50,,,,,,,
Gina,7/24/2023,234030,$630.00,"$1,800.00","$1,170.00",$180.00,$360.00,$180.00,$180.00,$270.00,,,,,,,
Thomas,7/24/2023,234029,$441.20,"$1,750","$1,308.80",$62.80,$633.50,$175.00,$175.00,$262.50,,,,,,,
Patrick,7/30/2023,234030,$421.85,"$2,050","$1,628.15",$494.65,$416.00,$205.00,$205.00,$307.50,,,,,,,
Dena,7/31/2023,234032,$480.00,"$2,250","$1,770.00",$250.00,$732.50,$225.00,$225.00,$337.50,,,,,,,
Eva,7/31/2023,234031,$381.62,"$2,400","$2,018.38",$716.88,$461.50,$240.00,$240.00,$360.00,,,,,,,
Daniel,8/1/2023,234032,$73.00,$550,$477.00,$70,$214.50,$55.00,$55.00,$82.50,,,,,,,
Eva,8/2/2023,234033,$232.50,"$1,820","$1,587.50",$300.00,$650.50,$182.00,$182.00,$273.00,,,,,,,
Jessica,8/2/2023,234034,$247.00,"$1,450","$1,203.00",$350.00,$345.50,$145.00,$145.00,$217.50,,,,,,,
Grace,8/3/2023,234035,$509.19,"$3,000","$2,490.81",$455.81,$985.00,$300.00,$300.00,$450.00,,,,,,,
Grace,8/5/2023,234036,$77.50,$750,$672.50,$140,$270.00,$75.00,$75.00,$112.50,,,,,,,
Taylor,8/8/2023,234037,$104.00,$400,$296.00,$0,$156.00,$40.00,$40.00,$60.00,,,,,,,
Patrick,8/9/2023,234038,$90.00,$600,$510.00,$40.00,$260.00,$60.00,$60.00,$90.00,,,,,,,
Eva,8/11/2023,234041,$23.30,$950,$926.70,$314.20,$280.00,$95.00,$95.00,$142.50,,,,,,,
Melissa,8/11/2023,234040,$188.50,$650,$461.50,$0.00,$234.00,$65.00,$65.00,$97.50,,,,,,,
Sophia,8/14/2023,234042,$165.50,$750,$584.50,$0.00,$322.00,$75.00,$75.00,$112.50,,,,,,,
Vincent,8/14/2023,234043,-$117.50,"$1,250","$1,367.50",$250.00,$680.00,$125.00,$125.00,$187.50,,,,,,,
Alice,8/15/2023,234044,$119.50,$700,$580.50,$0,$335.50,$70.00,$70.00,$105.00,,,,,,,
Daniel,8/18/2023,234047,"$1,000.00","$3,000","$2,000.00",$0.00,$950.00,$300.00,$300.00,$450.00,,,,,,,
Betty,8/21/2023,234049,$430.50,"$1,100",$669.50,$70.00,$214.50,$110.00,$110.00,$165.00,,,,,,,
Emily,8/25/2023,234050,$178.67,$850,$671.33,$61.83,$312.00,$85.00,$85.00,$127.50,,,,,,,
Jessica,8/25/2023,234051,$201.25,$750,$548.75,$198,$88.00,$75.00,$75.00,$112.50,,,,,,,
Thomas,8/26/2023,234054,$390.60,"$1,500","$1,109.40",$263.40,$321.00,$150.00,$150.00,$225.00,,,,,,,
Grace,8/28/2023,234057,$411.50,"$1,200.00",$788.50,$120.00,$368.50,$120.00,$120.00,$180.00,,,,,,,
Taylor,8/28/2023,234054,$361.00,"$2,500.00","$2,139.00",800,$464.00,$250.00,$250.00,$375.00,,,,,,,
Grace,8/31/2023,234059,$184.50,$800.00,$615.50,$0.00,$335.50,$80.00,$80.00,$120.00,,,,,,,
Jessica,9/1/2023,234061,$828.75,"$3,500","$2,671.25",$934.25,$512.00,$350.00,$350.00,$525.00,,,,,,,
Grace,9/5/2023,234062,$287.50,$750.00,$462.50,$200.00,$0.00,$75.00,$75.00,$112.50,,,,,,,
Grace,9/11/2023,234067,$536.10,"$2,350.00","$1,813.90",$96.40,$895.00,$235.00,$235.00,$352.50,,,,,,,
Melissa,9/11/2023,234065,$186.00,"$1,000",$814.00,$0.00,$464.00,$100.00,$100.00,$150.00,,,,,,,
Taylor,9/12/2023,234068,$633.75,"$3,200.00","$2,566.25",$934.25,$512.00,$320.00,$320.00,$480.00,,,,,,,
Sophia,9/14/2023,234081,-$2.20,"$1,800.00","$1,802.20",$812.20,$360.00,$180.00,$180.00,$270.00,,,,,,,
Alice,9/15/2023,234081,$156.00,$600.00,$444.00,$0.00,$234.00,$60.00,$60.00,$90.00,,,,,,,
Daniel,9/19/2023,234083,$65.25,$360.00,$294.75,$45.00,$123.75,$36.00,$36.00,$54.00,,,,,,,
Patrick,9/19/2023,234084,-$27.10,$500.00,$527.10,$72.10,$280.00,$50.00,$50.00,$75.00,,,,,,,
Emily,9/25/2023,234086,$266.25,$850.00,$583.75,$198.25,$88.00,$85.00,$85.00,$127.50,,,,,,,
Jessica,9/25/2023,234087,$513.80,"$2,500.00","$1,986.20",$679.20,$432.00,$250.00,$250.00,$375.00,,,,,,,
Thomas,9/26/2023,234088,-$139.20,$700.00,$839.20,$314.20,$280.00,$70.00,$70.00,$105.00,,,,,,,
Jessica,10/2/2023,234090,$458.50,"$1,570.00","$1,111.50",$0.00,$562.00,$157.00,$157.00,$235.50,,,,,,,
Grace,10/6/2023,234092,$807.50,"$1,850.00","$1,042.50",$35.00,$360.00,$185.00,$185.00,$277.50,,,,,,,
Taylor,10/6/2023,234091,"$1,470.00","$3,400.00","$1,930.00",$140.00,$600.00,$340.00,$340.00,$510.00,,,,,,,
Melissa,10/9/2023,234094,$110.50,$410.00,$299.50,$0.00,$156.00,$41.00,$41.00,$61.50,,,,,,,
Alice,10/11/2023,234095,$117.50,"$1,950.00","$1,832.50",$0.00,"$1,150.00",$195.00,$195.00,$292.50,,,,,,,
Daniel,10/16/2023,234097,$416.00,$970.00,$554.00,$0.00,$214.50,$97.00,$97.00,$145.50,,,,,,,
Grace,10/20/2023,234098,$91.00,$850.00,$759.00,$0.00,$461.50,$85.00,$85.00,$127.50,,,,,,,
Taylor,10/20/2023,234102,$526.50,"$1,900.00","$1,373.50",$75.00,$633.50,$190.00,$190.00,$285.00,,,,,,,
Emily,10/23/2023,234104,-$26.00,$600.00,$626.00,$0.00,$416.00,$60.00,$60.00,$90.00,,,,,,,
Jessica,10/23/2023,234103,"$1,143.75","$2,975.00","$1,831.25",$0.00,$790.00,$297.50,$297.50,$446.25,,,,,,,
Thomas,10/24/2023,234106,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,
Patrick,10/30/2023,234108,$176.00,"$1,200.00","$1,024.00",$0.00,$604.00,$120.00,$120.00,$180.00,,,,,,,
Eva,10/31/2023,234109,$38.50,$490.00,$451.50,$0.00,$280.00,$49.00,$49.00,$73.50,,,,,,,
Grace,11/3/2023,234110,$184.00,$850.00,$666.00,$0.00,$368.50,$85.00,$85.00,$127.50,,,,,,,
Sophia,11/3/2023,234113,$15.75,$455.00,$439.25,$0.00,$280.00,$45.50,$45.50,$68.25,,,,,,,
Robert,11/6/2023,234114,$182.00,$700.00,$518.00,$0.00,$273.00,$70.00,$70.00,$105.00,,,,,,,
Olivia,11/11/2023,234115,$92.50,$450.00,$357.50,$0.00,$200.00,$45.00,$45.00,$67.50,,,,,,,
Jessica,11/13/2023,234116,$193.75,"$1,675.00","$1,481.25",$0.00,$895.00,$167.50,$167.50,$251.25,,,,,,,
Grace,11/17/2023,234118,$552.50,$850.00,$297.50,$0.00,$0.00,$85.00,$85.00,$127.50,,,,,,,
Eva,11/20/2023,234120,$647.50,"$1,550.00",$902.50,$0.00,$360.00,$155.00,$155.00,$232.50,,,,,,,
Ryan,11/20/2023,234119,$705.25,"$1,725.00","$1,019.75",$0.00,$416.00,$172.50,$172.50,$258.75,,,,,,,
Grace,12/1/2023,234123,$855.00,"$4,300.00","$3,445.00",$340.00,"$1,600.00",$430.00,$430.00,$645.00,,,,,,,
